MANDT	KUNNR	LAND1	NAME1	NAME2	NAME3	NAME4	SORTL	ORT01	PSTLZ	REGIO	STRAS	PFACH	PSTL2	ADRNR	KTOKD	XCPDK	LOEVM	SPERR	KNRZA	KONZS	SPRAS	ERDAT	ERNAM	TELF1	STCD1	STCD2	STCEG
100	0000100021	DE	Dornfeld Systemtechnik GmbH & Co. KG				DORNFELD	Wolfenbüttel	38300	NI	Brunnenallee 37			0500000010	DEBI						D	20210326	SAPUSER1	0316 7246976	593/948/37531		DE917042138
100	0000100022	DE	Rotfurt Sanitärtechnik GmbH & Co. KG				ROTFURT	Gera	07545	TH	Haselweg 197			0500000011	DEBI						D	20220128	SAPUSER3	0540 2013612	597/769/49019		NL046515583B75
100	0000100024	DE	Rotfurt Sanitaertechnik GmbH & Co. KG				ROTFURT	Gera	07545	TH	Haselweg 197			0500000012	DEBI						D	20201217	SAPUSER1	0269 4844929	715/256/16643		DE841444195
100	0000100028	DE	Dornburg Handel GmbH				DORNBURG	Lüneburg	21335	NI	Nussbaumgasse 160a			0500000013	DEBI		X				D	20221203	SAPUSER1	0585 4931508	227/760/68763		DE330609428
100	0000100030	DE	Steinfels Speditionen GmbH & Co. KG				STEINFELS	Potsdam	14467	BB	Bahnhofstraße 44b			0500000014	DEBI						D	20240728	SAPUSER2	0713 6229501	292/142/20387		FR36179704198
100	0000100032	DE	Steinfels Speditionen GmbH & Co. KG				STEINFELS	Potsdam	14467	BB	Bahnhofstrasse 44b			0500000015	DEBI						D	20191027	SAPUSER4	0780 5528415	624/348/43530		DE518778285
100	0000100034	IT	Ostweg Schleiftechnik S.p.A.				OSTWEG	Bologna	40121		Zeppelinstraße 46			0500000016	DEBI						I	20201025	SAPUSER5	0625 6379296			IT12930425392
100	0000100038	DE	Eichfurt Lagertechnik GmbH				EICHFURT	Langenfeld	40764	NW	Nelkenallee 128			0500000017	DEBI						D	20200913	SAPUSER5	0355 6104047	511/720/80326		IT74975537025
100	0000100040	DE	Buchensee Pumpen GmbH				BUCHENSEE	Wittenberg	06886	ST	Raiffeisenring 146			0500000018	DEBI						D	20240721	SAPUSER4	0934 7518449	271/683/44736		ATU67975015
100	0000100041	DE	Oststein Anlagenbau GmbH & Co. KG				OSTSTEIN	Ansbach	91522	BY	Kirschring 9			0500000019	KUNA	X					D	20201205	SAPUSER3	0224 7450156	982/221/40614		DE158197018
100	0000100043	DE	Weidenfurt Zerspanung GmbH				WEIDENFURT	Nordhausen	99734	TH	Haselring 38a			0500000020	DEBI						D	20221220	SAPUSER4	0930 4971850	750/655/40758		DE999860649
100	0000100044	DE	Ostheim Logistik GmbH				OSTHEIM	Göttingen	37073	NI	Industriestraße 80			0500000021	DEBI						D	20220704	SAPUSER3	0305 4194262	422/598/35245		DE592632851
100	0000100046	DE	Eichfurt Lagertechnik G.m.b.H.				EICHFURT	Langenfeld	40764	NW	Nelkenallee 128			0500000022	DEBI						D	20211130	SAPUSER2	0584 1693042	439/921/97650		DE184627310
100	0000100049	DE	Haseltal Verpackungen GmbH & Co. KG				HASELTAL	Dachau	85221	BY	Wiesenweg 1b			0500000023	DEBI						D	20190821	SAPUSER5	0560 9406137	331/139/88540		DE613711266
100	0000100050	NL	Brandgrund Schleiftechnik B.V.				BRANDGRUND	Rotterdam	3011 AD		Pappelstraße 170			0500000024	DEBI						E	20210816	SAPUSER4	0305 4595713			NL883740842B20
100	0000100052	DE	Hartweg Hydraulik KGaA				HARTWEG	Leverkusen	51373	NW	Gartengasse 22a			0500000025	KUNA	X					D	20220325	SAPUSER2	0288 7023057	805/337/33637		DE426849816
100	0000100053	AT	Sandau Papier GmbH				SANDAU	Salzburg	5020		Rosengasse 125b			0500000026	DEBI						D	20211115	SAPUSER2	0384 2610928			ATU40102706
100	0000100054	DE	Haseltal Verpackungen GmbH & Co KG				HASELTAL	Dachau	85221	BY	Wiesenweg 1b			0500000027	DEBI						D	20230314	SAPUSER1	0818 5537546	488/674/73207		DE970438251
100	0000100056	DE	Steinwald Handel OHG				STEINWALD	Gera	07545	TH	Ahornweg 124			0500000028	DEBI						D	20230614	SAPUSER1	0653 8292974	583/689/18424		DE682592133
100	0000100058	FR	Brandbrück Stahlbau S.A.				BRANDBRÜCK	Lille	59000		Sonnenallee 67			0500000029	DEBI						F	20220615	SAPUSER5	0579 7500957			FR56921985425
100	0000100060	DE	Steinwald Handel OHG				STEINWALD	Gera	07545	TH	Ahornweg-124			0500000030	DEBI						D	20210106	SAPUSER4	0488 6397038	640/216/74289		DE258967695
100	0000100062	FR	Ostfels Elektrotechnik S.A.R.L.				OSTFELS	Nantes	44000		Tannenplatz 15a			0500000031	DEBI						F	20210922	SAPUSER3	0921 3858517			FR97180198631
100	0000100063	NL	Rothof Recycling N.V.				ROTHOF	Eindhoven	5611 AZ		Brunnendamm 12b			0500000032	DEBI						E	20210613	SAPUSER2	0262 4379495			NL957638886B55
100	0000100064	US	Althaus Fördertechnik Corp.				ALTHAUS	Detroit	48226	MI	Eichenring 42			0500000033	DEBI						E	20210914	SAPUSER5	0749 5840552			
100	0000100068	AT	Langfels Logistik KG				LANGFELS	Wien	1010		Gartenstraße 24			0500000034	DEBI						D	20220224	SAPUSER5	0297 9094220			ATU92422502
100	0000100069	DE	Lärchenheim Möbelwerke AG				LÄRCHENHEI	Germering	82110	BY	Bahnhofallee 109			0500000035	DEBI						D	20220624	SAPUSER3	0891 5474909	149/850/11943		DE950706383
100	0000100071	PL	Kleinfurt Aufzugstechnik Sp. z o.o.				KLEINFURT	Katowice	40-001		Erlenring 33			0500000036	DEBI						E	20210819	SAPUSER4	0343 4575623			PL7636380130
100	0000100072	PL	Kleintal Antriebstechnik S.A.				KLEINTAL	Krakow	30-001		Lindengasse 56			0500000037	DEBI						E	20240204	SAPUSER1	0455 7384989			PL4582282631
100	0000100073	DE	Lärchenheim Möbelwerke AG				LÄRCHENHEI	Germering	82110	BY	Bahnhofallee-109			0500000038	DEBI						D	20230608	SAPUSER2	0792 8741603	935/600/65239		DE596338114
100	0000100074	AT	Kleinfeld Anlagenbau KG				KLEINFELD	Linz	4020		Lerchenplatz 8			0500000039	KUNA	X					D	20211107	SAPUSER2	0982 3609066			ATU08484929
100	0000100076	DE	Waldau Speditionen GmbH & Co. KG				WALDAU	Bergheim	50126	NW	Zeppelinplatz 95			0500000040	KUNA	X					D	20231014	SAPUSER5	0578 7126579	831/788/74311		DE468156496
100	0000100078	PL	Nordhof Stahlbau S.A.				NORDHOF	Krakow	30-001		Haseldamm 99			0500000041	DEBI						E	20220515	SAPUSER3	0508 2501402			PL6593355799
100	0000100079	IT	Weidenstein Speditionen S.p.A.				WEIDENSTEI	Verona	37121		Heidedamm 3a			0500000042	DEBI						I	20240531	SAPUSER3	0630 4075493			IT69572244541
100	0000100083	DE	Waldau Bauelemente KGaA				WALDAU	Wolfenbüttel	38300	NI	Gartenallee 171b			0500000043	DEBI						D	20190316	SAPUSER2	0330 7408399	301/911/49314		DE745804254
100	0000100084	DE	Waldau Bauelemente KGaA				WALDAU	Wolfenbüttel	38300	NI		9305	38300	0500000044	DEBI						D	20191210	SAPUSER3	0523 7185568	938/466/84193		DE419372348
100	0000100085	DE	Feldhaus Recycling GmbH				FELDHAUS	Leverkusen	51373	NW	Quellengasse 157			0500000045	DEBI						D	20220731	SAPUSER5	0707 7041748	536/711/62302		DE278143626
100	0000100086	DE	Hartweg Hydraulik KGaA				HARTWEG	Leverkusen	51373	NW	Gartengasse 22a			0500000046	KUNA	X					D	20191018	SAPUSER4	0667 359859	114/734/92489		DE809244031
100	0000100087	US	Buchensee Bauelemente Corp.				BUCHENSEE	Atlanta	30303	GA	Rosenweg 57			0500000047	DEBI						E	20221116	SAPUSER3	0905 5609861			
100	0000100088	DE	Feldhaus Recycling GmbH				FELDHAUS	Leverkusen	51373	NW		4233	51373	0500000048	DEBI						D	20230414	SAPUSER1	0849 9996482	276/654/49943		DE111049078
100	0000100089	AT	Rothof Schleiftechnik KG				ROTHOF	Villach	9500		Postgasse 148	4548	9500	0500000049	DEBI						D	20211208	SAPUSER1	0382 3628545			ATU73622516
100	0000100090	DE	Haselstein Schweißtechnik GmbH & Co. KG				HASELSTEIN	Kiel	24103	SH	Ahornallee 6			0500000050	DEBI						D	20231006	SAPUSER3	0366 5446494	700/324/59955		DE609276162
100	0000100091	NL	Rheintal Baustoffe N.V.				RHEINTAL	Den Haag	2511 CV		Industrieweg 188a			0500000051	KUNA	X					E	20200604	SAPUSER4	0227 4345483			NL973650563B32
100	0000100094	NL	Birkengrund Fahrzeugteile B.V.				BIRKENGRUN	Rotterdam	3011 AD		Tannenring 89b			0500000052	DEBI						E	20201217	SAPUSER5	0510 1642538			NL973362046B11
100	0000100095	DE	Eichdorf Schleiftechnik GmbH				EICHDORF	Berlin	10115	BE	Pappelallee 191b			0500000053	DEBI						D	20220526	SAPUSER4	0724 7561751	973/878/25718		DE116047222
100	0000100099	DE	Eichdorf Schleiftechnik	GmbH			EICHDORF	Berlin	10115	BE	Pappelallee 191b			0500000054	DEBI						D	20200107	SAPUSER4	0642 8332657	428/458/85504		DE385635019
100	0000100100	DE	Lindenbrück Messtechnik GmbH & Co. KG				LINDENBRÜC	Bayreuth	95444	BY	Poststraße 67			0500000055	DEBI						D	20190306	SAPUSER3	0342 5515943	636/364/52002		NL130921080B80
100	0000100103	DE	Wepdenfurt Zerspanung GmbH				WEIDENFURT	Nordhausen	99734	TH	Haselring 38a			0500000056	DEBI						D	20190130	SAPUSER5	0472 7610229	386/980/33954		DE748958845
100	0000100106	DE	Sanddorf Kunststofftechnik eG				SANDDORF	Hameln	31785	NI	Erlenplatz 42			0500000057	DEBI						D	20190904	SAPUSER3	0643 784289	268/832/91116		FR72387780016
100	0000100108	NL	Rheinwald Maschinenbau B.V.				RHEINWALD	Nijmegen	6511 AB		Pappelgasse 65	33812	6511 AB	0500000058	DEBI						E	20230914	SAPUSER4	0523 8270882			NL594357213B49
100	0000100109	DE	Lärchensee Stahlbau GmbH				LÄRCHENSEE	Bergisch Gladbach	51465	NW	Wiesenplatz 103			0500000059	DEBI						D	20200520	SAPUSER3	0687 4147668	766/250/61148		IT92938379002
100	0000100110	PL	Kastanienberg Schweißtechnik S.A.				KASTANIENB	Wroclaw	50-001		Sonnengasse 191			0500000060	DEBI						E	20210719	SAPUSER3	0977 3397401			PL8082656089
100	0000100111	IT	Zedertal Pumpen S.r.l.				ZEDERTAL	Bologna	40121		Mühlenallee 108b			0500000061	DEBI						I	20240712	SAPUSER4	0488 8800470			IT08940969623
100	0000100112	DE	Feldhaus Kunststofftechnik AG				FELDHAUS	Lübeck	23552	SH	Eichenplatz 101b			0500000062	DEBI						D	20190617	SAPUSER4	0211 2687938	867/139/20850		PL1589841998
100	0000100116	DE	Weidenberg Speditionen UG (haftungsbeschränkt)				WEIDENBERG	Bernburg	06406	ST	Kirschstraße 85a			0500000063	DEBI						D	20190405	SAPUSER2	0246 9245066	862/143/73470		ATU36228384
100	0000100117	DE	Talhof Metallbau GmbH				TALHOF	Villingen-Schwenningen	78050	BW	Nussbaumstraße 182a			0500000064	KUNA	X					D	20191124	SAPUSER2	0291 3608446	602/110/41892		DE865878756
100	0000100118	DE	Reinfels Industrieservice KG				REINFELS	Schwabach	91126	BY	Zeppelinplatz 112a			0500000065	DEBI						D	20200601	SAPUSER3	0448 5430972	532/843/26303		NL963623421B13
100	0000100120	DE	Zederfurt Dichtungstechnik GmbH				ZEDERFURT	Leverkusen	51373	NW	Nelkendamm 187			0500000066	DEBI						D	20231013	SAPUSER1	0361 4164345	827/834/51565		FR74567823396
100	0000100121	DE	Neuried Handel GmbH & Co. KG				NEURIED	Vechta	49377	NI	Nussbaumdamm 19			0500000067	DEBI						D	20240619	SAPUSER3	0588 2627487	673/467/58546		IT95126621508
100	0000100122	DE	Kiefernstein Apparatebau GmbH				KIEFERNSTE	Troisdorf	53840	NW	Sonnenplatz 19			0500000068	DEBI						D	20200502	SAPUSER5	0701 5326987	564/334/85942		DE160792066
100	0000100123	DE	Waldweg Lebensmittel GmbH & Co. KG				WALDWEG	Güstrow	18273	MV	Marktgasse 5b			0500000069	DEBI						D	20230522	SAPUSER3	0297 7113824	639/365/29756		PL8423115681
100	0000100124	AT	Südau Apparatebau KG				SÜDAU	Wels	4600		Brunnenweg 2			0500000070	DEBI						D	20240122	SAPUSER5	0262 373002			ATU11227075
100	0000100125	DE	Kiefernheim Papier GmbH & Co. KG				KIEFERNHEI	Ahlen	59227	NW	Quellenweg 39			0500000071	DEBI						D	20210123	SAPUSER2	0891 380450	720/630/46935		720/630/46935
100	0000100126	PL	Kleinberg Apparatebau S.A.				KLEINBERG	Krakow	30-001		Lindenplatz 60			0500000072	DEBI						E	20200820	SAPUSER1	0326 6462743			PL1977422210
100	0000100128	DE	Zederhof Maschinenbau KG				ZEDERHOF	Hof	95028	BY	Wiesenstraße 166	80306	95028	0500000073	DEBI						D	20221211	SAPUSER2	0761 9574077	479/791/39585		DE548256947
100	0000100129	DE	Mühlberg Klimatechnik GmbH				MÜHLBERG	Kaufbeuren	87600	BY	Domplatz 58			0500000074	DEBI						D	20220402	SAPUSER3	0473 4059540	789/454/68359		789/454/68359
100	0000100130	DE	Südfels Druckguss GmbH				SÜDFELS	Vechta	49377	NI	Gartendamm 17			0500000075	DEBI						D	20200715	SAPUSER3	0663 7387273	105/281/67810		105/281/67810
100	0000100131	AT	Steinhaus Papier GmbH				STEINHAUS	Klagenfurt	9020		Tannendamm 87			0500000076	DEBI						D	20220328	SAPUSER3	0885 6405392			ATU30165617
100	0000100132	DE	Althof Pumpen GmbH				ALTHOF	Ratingen	40878	NW	Lerchengasse 170			0500000077	DEBI						D	20220911	SAPUSER1	0284 4451954	845/754/57915		DE231344
100	0000100133	DE	Talsee Messtechnik GmbH & Co. KG				TALSEE	Rendsburg	24768	SH	Burggasse 56			0500000078	DEBI						D	20211018	SAPUSER5	0748 1602961	357/194/26728		DE296873
100	0000100134	DE	Lärchenfurt Apparatebau GmbH				LÄRCHENFUR	Saarbrücken	66111	SL	Quellenallee 99a			0500000079	DEBI		X				D	20200415	SAPUSER1	0975 3284901	279/531/35107		DE431693827
100	0000100135	FR	Brandhaus Systemtechnik S.A.R.L.				BRANDHAUS	Lyon	69001		Pappelgasse 126			0500000080	KUNA	X					F	20200730	SAPUSER5	0279 1998865			FR10029260830
100	0000100138	DE	Holunderfeld Klimatechnik GmbH				HOLUNDERFE	Herne	44623	NW	Feldallee 66			0500000081	DEBI						D	20221213	SAPUSER1	0878 1415532	460/883/91030		DE99732O072
100	0000100140	DE	Südwald Logistik GmbH				SÜDWALD	Regensburg	93047	BY	Heidedamm 126			0500000082	DEBI						D	20191031	SAPUSER3	0478 1234887	279/369/91713		DE8O4623041
100	0000100141	CH	Eichried Elektrotechnik AG				EICHRIED	Lausanne	1003		Bahnhofring 57			0500000083	DEBI						D	20220807	SAPUSER3	0611 2517352			CHE970013842MWST
100	0000100142	DE	Rotgrund Apparatebau KG				ROTGRUND	Wismar	23966	MV	Nussbaumstraße 26			0500000084	DEBI						D	20210516	SAPUSER1	0850 7589439	814/564/33832		DE771186634
100	0000100143	DE	Dornfurt Verpackungen GmbH & Co. KG				DORNFURT	Troisdorf	53840	NW	Mühlendamm 93	85418	53840	0500000085	DEBI		X				D	20211214	SAPUSER2	0602 1243996	132/147/52041		DE971693599
100	0000100144	PL	Espenbrück Möbelwerke S.A.				ESPENBRÜCK	Krakow	30-001		Bahnhofweg 71b			0500000086	DEBI						E	20190718	SAPUSER5	0499 7860673			PL8389471602
100	0000100146	DE	Langgrund Speditionen GmbH				LANGGRUND	Papenburg	26871	NI	Nelkendamm 119			0500000087	DEBI						D	20240303	SAPUSER2	0494 3418017	492/193/27678		DE311852105
100	0000100147	DE	Weißtal Apparatebau GmbH				WEISSTAL	Heilbronn	74072	BW	Lindendamm 47a			0500000088	DEBI						D	20221127	SAPUSER1	0789 6086972	340/514/28893		DE244491855
100	0000100152	DE	Talfurt Antriebstechnik GmbH				TALFURT	Mainz	55116	RP	Mühlenplatz 190			0500000089	DEBI						D	20240307	SAPUSER5	0241 6527339	979/112/70042		DE305305686
100	0000100153	NL	Fichtengrund Aufzugstechnik B.V.				FICHTENGRU	Nijmegen	6511 AB		Haselplatz 80b			0500000090	DEBI						E	20211110	SAPUSER3	0255 4178356			NL599843281B27
100	0000100156	FR	Neubrück Klimatechnik S.A.				NEUBRÜCK	Paris	75001		Mühlenallee 72b			0500000091	DEBI						F	20220126	SAPUSER4	0388 7743869			FR46569920991
100	0000100157	DE	Feldried Messtechnik UG (haftungsbeschränkt)				FELDRIED	Göppingen	73033	BW	Hafenring 186a			0500000092	DEBI						D	20221104	SAPUSER3	0895 8950184	558/811/10470		DE117063988
100	0000100158	DE	Talhof Metallbau GmbH				TALHOF	Villingen-Schwenningen	78050	BW	Nussbaumstrasse 182a			0500000093	KUNA	X					D	20210930	SAPUSER5	0571 175395	210/263/72391		DE496435633
100	0000100159	DE	Ostwald Speditionen GmbH & Co. KG				OSTWALD	Halle	06108	ST	Tannenplatz 63			0500000094	DEBI		X				D	20211128	SAPUSER4	0951 1714640	889/737/98108		DE459246360
100	0000100161	DE	Ulmenwald Kunststofftechnik GmbH				ULMENWALD	Lübeck	23552	SH	Marktallee 14b			0500000095	DEBI						D	20230817	SAPUSER1	0432 2428397	804/506/63761		DE849608253
100	0000100162	DE	Lärchenfurt Werkzeugbau GmbH				LÄRCHENFUR	Schwabach	91126	BY	Industriering 83			0500000096	DEBI						D	20220213	SAPUSER2	0400 3037770	703/602/53817		DE476560531
100	0000100163	PL	Kiefernau Zerspanung S.A.				KIEFERNAU	Wroclaw	50-001		Brunnengasse 14a			0500000097	DEBI						E	20191121	SAPUSER1	0992 7659664			PL3328004529
100	0000100165	DE	Nordbach Klimatechnik GmbH				NORDBACH	Schwerin	19053	MV	Rosengasse 123			0500000098	DEBI						D	20190712	SAPUSER3	0809 4041864	525/272/55909		DE351488319
100	0000100168	PL	Lärchenau Anlagenbau Sp. z o.o.				LÄRCHENAU	Wroclaw	50-001		Tannenstraße 199a			0500000099	DEBI						E	20191001	SAPUSER1	0683 5428819			PL4388334523
100	0000100171	DE	Südstein Hydraulik GmbH				SÜDSTEIN	Remscheid	42853	NW	Nussbaumplatz 33b			0500000100	DEBI						D	20210101	SAPUSER2	0308 4990519	663/754/82939		DE408062877
100	0000100172	DE	Falkenbrück Druckguss GmbH				FALKENBRÜC	Wolfenbüttel	38300	NI	Burgallee 192			0500000101	DEBI						D	20201213	SAPUSER2	0499 4553219	447/991/85405		DE772481176
100	0000100175	DE	Neufels Bauelemente GmbH & Co. KG				NEUFELS	Pforzheim	75175	BW	Industriedamm 63a			0500000102	DEBI						D	20200917	SAPUSER1	0237 1452265	975/945/52458		DE731155254
100	0000100176	PL	Erlenfeld Lebensmittel Sp. z o.o.				ERLENFELD	Krakow	30-001		Industriestraße 50			0500000103	KUNA	X					E	20220104	SAPUSER1	0604 7634572			PL7272462746
100	0000100177	US	Ahorndorf Textilien Inc.				AHORNDORF	Houston	77002	TX	Kirschallee 81a			0500000104	KUNA	X					E	20200815	SAPUSER5	0235 8883190			
100	0000100179	DE	Kiefernmark Kunststofftechnik KG				KIEFERNMAR	Stralsund	18439	MV	Raiffeisenring 151			0500000105	DEBI						D	20210529	SAPUSER3	0961 8792960	132/813/62615		DE897233380
100	0000100181	DE	Sandhof Anlagenbau GmbH & Co. KG				SANDHOF	Potsdam	14467	BB	Industrieweg 147b			0500000106	DEBI						D	20201116	SAPUSER5	0553 4040310	316/882/98533		DE529595657
100	0000100182	NL	Holunderau Bedachungen B.V.				HOLUNDERAU	Amsterdam	1012 AB		Feldweg 118a			0500000107	KUNA	X					E	20190113	SAPUSER3	0812 5262482			NL871594494B71
100	0000100183	NL	Reinfurt Industrieservice B.V.				REINFURT	Eindhoven	5611 AZ		Erlenplatz 192			0500000108	DEBI						E	20240421	SAPUSER4	0712 305828			NL929088872B21
100	0000100185	DE	Erlenmark Logistik e.K.				ERLENMARK	Lippstadt	59555	NW	Kirschallee 98			0500000109	DEBI						D	20231101	SAPUSER1	0739 3199132	276/698/83165		DE996309556
100	0000100186	DE	Eichberg Stahlbau GmbH				EICHBERG	Moers	47441	NW	Pappelallee 77a			0500000110	DEBI						D	20190611	SAPUSER3	0237 6468726	194/224/13408		DE790811885
100	0000100187	US	Reinwald Kunststofftechnik Inc.				REINWALD	Chicago	60601	IL	Tannenring 137			0500000111	DEBI						E	20210221	SAPUSER4	0624 6240897			
100	0000100188	DE	Lärchendorf Industrieservice AG				LÄRCHENDOR	Braunschweig	38100	NI	Nussbaumplatz 159			0500000112	DEBI						D	20220209	SAPUSER1	0416 2960538	468/172/45893		DE554426704
100	0000100189	DE	Espenweg Armaturen GmbH				ESPENWEG	Gelsenkirchen	45879	NW	Industriedamm 72b	18880	45879	0500000113	DEBI						D	20240518	SAPUSER3	0566 540373	550/657/87146		DE960814048
100	0000100191	FR	Holunderfurt Maschinenbau S.A.S.				HOLUNDERFU	Marseille	13001		Wiesenallee 17			0500000114	DEBI						F	20230420	SAPUSER1	0611 7529978			FR04110831133
100	0000100192	DE	Branddorf Speditionen AG				BRANDDORF	Waiblingen	71332	BW	Gartenring 41			0500000115	DEBI						D	20190322	SAPUSER4	0324 3944248	248/654/16867		DE884611285
100	0000100194	DE	Lärchensee Fahrzeugteile GmbH				LÄRCHENSEE	Marburg	35037	HE	Tannenallee 169			0500000116	DEBI						D	20210103	SAPUSER1	0249 9362530	544/912/84139		DE669793641
100	0000100195	DE	Talsee Armaturen KG				TALSEE	Neuss	41460	NW	Feldallee 120a			0500000117	DEBI						D	20230823	SAPUSER5	0736 9897654	275/272/72528		DE212349887
100	0000100196	DE	Nordfels Formenbau GmbH				NORDFELS	Ratingen	40878	NW	Haselweg 56			0500000118	DEBI						D	20201007	SAPUSER1	0433 3521130	854/990/36514		DE927663652
100	0000100197	DE	Grünau Handel GmbH				GRÜNAU	Stralsund	18439	MV	Lerchenallee 30			0500000119	DEBI						D	20211101	SAPUSER5	0849 9606844	478/272/36185		DE952803873
100	0000100199	DE	Eichmark Aufzugstechnik GmbH				EICHMARK	Gießen	35390	HE	Gartenplatz 181a			0500000120	DEBI						D	20200417	SAPUSER3	0595 896862	671/733/32590		DE223205707
100	0000100201	DE	Ostdorf Antriebstechnik KG				OSTDORF	Hildesheim	31134	NI	Nussbaumallee 133			0500000121	DEBI						D	20220805	SAPUSER1	0247 1947096	607/363/95560		DE171499944
100	0000100203	NL	Steinried Speditionen B.V.				STEINRIED	Den Haag	2511 CV		Brunnenring 167b			0500000122	DEBI						E	20220222	SAPUSER2	0740 6067258			NL364082340B13
100	0000100206	DE	Nordweg Lebensmittel KG				NORDWEG	Viersen	41747	NW	Postplatz 91			0500000123	DEBI						D	20191229	SAPUSER3	0948 4737242	523/388/20266		DE676363655
100	0000100208	DE	Erlenstein Getränke GmbH & Co. KG				ERLENSTEIN	Winsen	21423	NI	Quellenring 185			0500000124	DEBI						D	20230409	SAPUSER3	0710 1733819	894/930/35518		DE290417101
100	0000100212	IT	Lärchenwald Schleiftechnik S.r.l.				LÄRCHENWAL	Milano	20121		Haselweg 42			0500000125	KUNA	X					I	20190907	SAPUSER1	0294 1196152			IT04235124653
100	0000100213	DE	Kastanienhaus Stahlbau KG				KASTANIENH	Magdeburg	39104	ST	Gartengasse 137a	45872	39104	0500000126	KUNA	X					D	20190513	SAPUSER3	0613 2810738	277/455/13824		DE332674207
100	0000100214	DE	Test GmbH				ALTRIED	Ludwigsburg	71634	BW	Sonnenring 180			0500000127	DEBI						D	20230115	SAPUSER1	0487 4585004	749/386/13111		DE998377150
100	0000100215	DE	Testkunde 2				BERGAU	Saarbrücken	66111	SL	Birkenring 20			0500000128	DEBI						D	20230203	SAPUSER2	0448 7998228	634/618/44796		DE992928127
100	0000100216	DE	unbekannt				NEUDORF	Buxtehude	21614	NI	Mühlenweg 51b			0500000129	DEBI						D	20210808	SAPUSER2	0781 437619	996/410/45923		DE922413208
100	0000100217	DE	XXX Handel				BUCHENBRÜC	Ratingen	40878	NW	Nussbaumplatz 169a			0500000130	DEBI						D	20201126	SAPUSER5	0607 6490010	426/147/65034		DE834908660
100	0000100218	DE	TEST				TALHEIM	Meppen	49716	NI	Wiesenweg 62			0500000131	DEBI						D	20200925	SAPUSER5	0617 2835653	683/835/36463		DE741644623
100	0000100219	DE	Neuanlage unbekannt				HOLUNDERHO	Dorsten	46282	NW	Schulring 99a			0500000132	DEBI						D	20201010	SAPUSER2	0492 1001190	579/686/41622		DE628598465
100	0000100220	DE	xxx				BERNFELD	Winsen	21423	NI	Fasanendamm 61			0500000133	DEBI						D	20230530	SAPUSER5	0451 2497038	234/458/99129		DE443647064
100	0000100221	DE	Testfirma Nord				BIRKENSTEI	Kerpen	50171	NW	Nussbaumstraße 129			0500000134	DEBI						D	20230903	SAPUSER4	0705 7943684	240/415/35829		DE375171954
100	0000100222	DE	Dummy Konto				ULMENGRUND	Fürstenfeldbruck	82256	BY	Postgasse 75			0500000135	DEBI						D	20190527	SAPUSER4	0599 6878825	184/260/16737		DE690764233
100	0000100224	DE	Test 4711				BERNFURT	Essen	45127	NW	Gartenallee 140			0500000136	DEBI						D	20190227	SAPUSER2	0992 7630186	424/515/68904		DE320048487
