MANDT	KUNNR	BUKRS	MABER	MAHNS	MADAT	MANSP	KNRMA
100	0000100146	1000		3	20250209		
100	0000100147	2000		3	20250105		
100	0000100152	2000		3	20250925		
100	0000100153	1000		3	20250727		
100	0000100153	2000		3	20251231		
100	0000100156	1000		3	20250219		
100	0000100157	1000		3	20241222		
100	0000100158	1000		3	20250923		
100	0000100161	1000		3	20250824		
100	0000100162	1000		3	20250619		
100	0000100163	1000		3	20250803		
100	0000100165	1000		3	20250209		
100	0000100168	1000		3	20260407		
100	0000100171	2000		3	20250319		
100	0000100172	1000		3	20241222		
100	0000100175	1000		3	20250126		
100	0000100176	1000		2	20260825		
100	0000100177	1000		3	20250209		
100	0000100179	1000		3	20250722		
100	0000100181	1000		3	20250109		
100	0000100182	2000		3	20260215		
100	0000100183	1000		3	20250403		
100	0000100185	1000		3	20250209		
100	0000100185	2000		3	20250126		
100	0000100186	1000		3	20250209		
100	0000100187	1000		3	20250115		
100	0000100189	1000		3	20251007		
100	0000100191	2000		3	20260301		
100	0000100192	1000		3	20250511		
100	0000100194	1000		3	20250106		
100	0000100195	1000		3	20250227		
100	0000100195	2000		3	20241201		
100	0000100196	1000		3	20250311		
100	0000100197	1000		2	20260821		
100	0000100199	2000		3	20250304		
100	0000100201	1000		3	20250119		
100	0000100201	2000		3	20260804		
100	0000100203	1000		3	20250204		
100	0000100203	2000		3	20250805		
100	0000100206	1000		3	20250928		
100	0000100208	1000		3	20260520		
100	0000100212	2000		3	20250327		
100	0000100213	1000		3	20251225		
100	0000100214	1000		3	20250313		
100	0000100215	2000		3	20250930		
100	0000100216	2000		3	20260820		
100	0000100217	1000		3	20250831		
100	0000100218	2000		3	20260823		
100	0000100219	2000		3	20250623		
100	0000100220	1000		3	20241222		
100	0000100221	1000		3	20250518		
100	0000100222	1000		3	20250219		
100	0000100224	1000		3	20250717		
100	0000100226	1000		3	20241226		
100	0000100226	2000		3	20250115		
100	0000100228	1000		3	20250714		
100	0000100230	1000		3	20241208		
100	0000100232	1000		3	20250406		
100	0000100233	1000		3	20241201		
100	0000100234	2000		3	20241231		
100	0000100235	1000		3	20250326		
100	0000100236	1000		3	20250102		
100	0000100237	1000		3	20241205		
100	0000100238	2000		3	20241216		
100	0000100240	1000		3	20260223		
100	0000100241	1000		3	20250119		
100	0000100244	1000		3	20260315		
100	0000100245	1000		3	20241215		
100	0000100245	2000		3	20250604		
100	0000100246	1000		3	20241212		
100	0000100247	1000		3	20251216		
100	0000100248	1000		3	20250601		
100	0000100249	1000		3	20251005		
100	0000100250	2000		3	20250831		
100	0000100252	1000		3	20250116		
100	0000100253	1000		1	20260828		
100	0000100254	1000		3	20250211		
100	0000100256	2000		3	20260723		
100	0000100257	1000		3	20250106		
100	0000100259	1000		2	20260821		
100	0000100260	1000		3	20241205		
100	0000100261	1000		1	20260814		
100	0000100262	1000		3	20251029		
100	0000100263	2000		3	20250420		
100	0000100264	1000		2	20260731		
100	0000100267	1000		3	20250402		
100	0000100268	1000		3	20250123		
100	0000100269	2000		3	20250218		
100	0000100271	1000		3	20250112		
100	0000100272	1000		3	20250323		
100	0000100273	1000		3	20251023		
100	0000100275	1000		3	20250505		
100	0000100276	1000		3	20250428		
100	0000100277	2000		3	20251223		
100	0000100279	1000		3	20241230		
100	0000100281	1000		3	20251116		
100	0000100282	1000		3	20260402		
100	0000100283	1000		3	20250907		
100	0000100284	1000		3	20250224		
100	0000100285	1000		3	20250223		
100	0000100286	1000		3	20250921		
100	0000100287	1000		3	20250814		
100	0000100288	2000		3	20250119		
100	0000100289	2000		3	20250112		
100	0000100290	1000		3	20250921		
100	0000100291	1000		3	20250129		
100	0000100293	1000		3	20260104		
100	0000100295	1000		3	20250310		
100	0000100296	1000		3	20241212		
100	0000100296	2000		3	20260823		
100	0000100298	2000		3	20241210		
100	0000100301	2000		3	20250525		
100	0000100302	2000		3	20251012		
100	0000100303	1000		3	20260201		
100	0000100305	1000		3	20250507		
100	0000100306	1000		3	20250615		
100	0000100308	2000		3	20250720		
100	0000100309	1000		3	20241212		
100	0000100313	1000		3	20250113		
100	0000100315	2000		3	20241208		
100	0000100316	1000		3	20250626		
100	0000100317	1000		3	20250417		
100	0000100319	1000		3	20250706		
100	0000100321	1000		3	20250305		
100	0000100322	1000		3	20250220		
100	0000100323	1000		3	20241211		
100	0000100324	2000		3	20250114		
100	0000100327	1000		3	20250622		
100	0000100328	1000		1	20260807		
100	0000100329	1000		3	20250429		
100	0000100330	1000		3	20241229		
100	0000100331	1000		3	20250202		
100	0000100332	1000		3	20250217		
100	0000100333	2000		3	20251228		
100	0000100334	2000		3	20260405		
100	0000100336	1000		3	20241208		
100	0000100338	1000		3	20250504		
100	0000100340	1000		3	20251012		
100	0000100342	1000		3	20260331		
100	0000100344	1000		3	20250812		
100	0000100344	2000		3	20250119		
100	0000100345	1000		3	20250818		
100	0000100346	1000		3	20250430		
100	0000100348	1000		3	20260705		
100	0000100349	1000		3	20260802		
100	0000100349	2000		3	20251013		
100	0000100353	1000		3	20250504		
100	0000100355	1000		3	20250216		
100	0000100358	1000		3	20250427		
100	0000100360	1000		3	20250316		
100	0000100361	1000		3	20250105		
100	0000100363	1000		3	20250716		
100	0000100364	1000		3	20250923		
100	0000100366	1000		3	20251110		
100	0000100368	1000		3	20250113		
100	0000100370	1000		3	20250330		
100	0000100371	2000		3	20241224		
100	0000100372	1000		3	20251106		
100	0000100374	1000		3	20250413		
100	0000100375	2000		3	20250202		
100	0000100377	1000		3	20250211		
100	0000100382	2000		3	20250617		
100	0000100383	1000		3	20250413		
100	0000100385	1000		3	20260212		
100	0000100386	1000		3	20241201		
100	0000100388	1000		3	20241223		
100	0000100389	2000		3	20250112		
100	0000100391	1000		3	20241211		
100	0000100393	1000		3	20241223		
100	0000100394	2000		3	20241216		
100	0000100396	2000		3	20241208		
100	0000100397	1000		3	20250119		
100	0000100401	1000		3	20251216		
100	0000100401	2000		3	20250615		
100	0000100403	1000		3	20260623		
100	0000100406	1000		3	20241201		
100	0000100407	2000		3	20250204		
100	0000100408	2000		3	20250410		
100	0000100409	1000		3	20250223		
100	0000100410	2000		3	20251123		
100	0000100411	2000		3	20241208		
100	0000100412	1000		3	20250424		
100	0000100413	2000		3	20251027		
100	0000100414	1000		3	20250302		
100	0000100415	1000		3	20250702		
100	0000100417	1000		3	20241222		
100	0000100418	1000		3	20251221		
100	0000100419	1000		3	20250102		
100	0000100424	1000		3	20250309		
100	0000100425	1000		3	20260818		
100	0000100426	1000		3	20250302		
100	0000100427	1000		3	20250408		
100	0000100429	1000		3	20250217		
100	0000100430	2000		3	20250316		
100	0000100434	1000		3	20250219		
100	0000100437	1000		3	20250112		
100	0000100441	1000		3	20250330		
100	0000100443	1000		3	20250323		
100	0000100444	1000		3	20250529		
100	0000100445	1000		3	20250615		
100	0000100446	2000		3	20250102		
100	0000100447	1000		3	20250203		
100	0000100449	2000		3	20251015		
100	0000100450	1000		3	20250728		
100	0000100451	1000		3	20260603		
100	0000100452	2000		3	20250421		
100	0000100455	1000		3	20250429		
100	0000100457	2000		3	20260804		
100	0000100460	1000		3	20260517		
100	0000100462	1000		3	20250526		
100	0000100464	1000		3	20250105		
100	0000100466	1000		3	20260113		
100	0000100468	1000		3	20241218		
100	0000100469	1000		3	20260628		
100	0000100470	1000		3	20251221		
100	0000100471	1000		3	20241201		
100	0000100472	1000		2	20260821		
100	0000100473	1000		3	20250805		
100	0000100477	1000		3	20241222		
100	0000100479	2000		3	20250126		
100	0000100480	2000		3	20241208		
100	0000100481	1000		3	20250202		
100	0000100484	2000		3	20250424		
100	0000100490	2000		3	20250126		
100	0000100492	1000		3	20241204		
100	0000100493	2000		3	20250119		
100	0000100496	1000		3	20241225		
100	0000100499	1000		3	20250109		
100	0000100505	2000		3	20260118		
100	0000100506	2000		3	20260616		
100	0000100508	1000		3	20241212		
100	0000100512	1000		3	20251103		
100	0000100513	1000		3	20250601		
100	0000100514	1000		3	20250112		
100	0000100515	1000		3	20250806		
100	0000100516	1000		3	20241229		
100	0000100519	2000		3	20250625		
100	0000100520	2000		3	20250211		
100	0000100521	1000		1	20260814		
100	0000100522	1000		3	20250312		
100	0000100524	1000		3	20250924		
100	0000100527	2000		3	20250112		
100	0000100530	1000		3	20251022		
100	0000100531	1000		3	20250415		
100	0000100533	1000		3	20260415		
100	0000100534	1000		3	20241216		
100	0000100537	1000		3	20250410		
100	0000100540	1000		3	20250824		
100	0000100541	2000		3	20250211		
100	0000100542	1000		3	20250828		
100	0000100545	1000		3	20260105		
100	0000100546	1000		3	20250807		
100	0000100548	1000		3	20241216		
100	0000100552	1000		3	20250112		
100	0000100553	2000		3	20251030		
100	0000100554	1000		3	20250511		
100	0000100555	1000		3	20250331		
100	0000100556	2000		3	20250203		
100	0000100559	1000		3	20250203		
100	0000100559	2000		3	20251130		
100	0000100560	2000		3	20250626		
100	0000100562	1000		3	20250611		
100	0000100566	1000		3	20241224		
100	0000100567	2000		3	20250129		
100	0000100570	1000		3	20250518		
100	0000100572	1000		3	20250529		
100	0000100572	2000		3	20260322		
100	0000100573	2000		3	20250211		
100	0000100574	1000		3	20250714		
100	0000100574	2000		3	20250713		
100	0000100578	1000		1	20260805		
100	0000100579	2000		3	20241231		
100	0000100580	1000		3	20250921		
100	0000100581	1000		3	20250119		
100	0000100582	2000		3	20250409		
100	0000100584	1000		3	20250413		
100	0000100584	2000		3	20250330		
100	0000100585	1000		3	20241211		
100	0000100586	1000		3	20250128		
100	0000100587	1000		3	20250622		
100	0000100588	2000		3	20250527		
100	0000100593	1000		2	20260815		
100	0000100595	2000		3	20241229		
100	0000100599	1000		3	20250209		
100	0000100600	1000		3	20251005		
100	0000100601	1000		3	20250629		
100	0000100603	1000		3	20250205		
100	0000100604	1000		3	20250323		
100	0000100605	1000		3	20241215		
100	0000100609	1000		3	20250824		
100	0000100610	1000		3	20260726		
100	0000100614	2000		3	20260525		
100	0000100615	1000		3	20250619		
100	0000100617	1000		3	20250527		
100	0000100618	1000		3	20250302		
100	0000100619	1000		3	20250202		
100	0000100620	2000		3	20260413		
100	0000100621	1000		3	20250615		
100	0000100624	2000		3	20250112		
100	0000100626	2000		3	20250121		
100	0000100627	2000		3	20250914		
100	0000100632	1000		3	20250601		
100	0000100633	2000		3	20260118		
100	0000100634	1000		3	20250107		
100	0000100636	1000		3	20250501		
100	0000100638	2000		3	20250415		
100	0000100639	1000		3	20241215		
100	0000100640	1000		3	20250105		
100	0000100642	1000		3	20260215		
100	0000100643	1000		3	20250123		
100	0000100644	1000		3	20250323		
100	0000100645	1000		3	20250817		
100	0000100647	1000		3	20250422		
100	0000100648	1000		3	20250330		
100	0000100650	1000		3	20250512		
100	0000100651	2000		3	20250112		
100	0000100652	1000		3	20251105		
100	0000100653	1000		3	20250105		
100	0000100655	2000		3	20250928		
100	0000100658	1000		3	20260419		
100	0000100659	1000		3	20250316		
100	0000100660	1000		3	20241202		
100	0000100662	2000		3	20250116		
100	0000100663	1000		3	20260726		
100	0000100664	2000		3	20241218		
100	0000100665	1000		3	20250513		
100	0000100666	1000		3	20250119		
100	0000100667	1000		2	20260818		
100	0000100668	1000		3	20250323		
100	0000100669	1000		3	20260204		
100	0000100670	1000		3	20241208		
100	0000100671	1000		3	20251223		
100	0000100672	1000		3	20251006		
100	0000100674	1000		3	20250722		
100	0000100676	2000		3	20250205		
100	0000100677	1000		3	20250102		
100	0000100678	1000		3	20251008		
100	0000100679	1000		3	20241215		
100	0000100680	1000		3	20250319		
100	0000100681	1000		3	20250622		
100	0000100682	1000		3	20241231		
100	0000100687	1000		3	20250420		
100	0000100688	2000		3	20250702		
100	0000100689	1000		3	20250623		
100	0000100691	1000		3	20241215		
100	0000100692	1000		3	20241226		
100	0000100695	1000		3	20250302		
100	0000100697	1000		3	20250618		
100	0000100700	1000		3	20250618		
100	0000100701	1000		3	20250205		
100	0000100702	1000		3	20260511		
100	0000100705	1000		3	20250113		
100	0000100706	1000		3	20250713		
100	0000100713	2000		3	20250317		
100	0000100716	1000		3	20250101		
100	0000100717	1000		1	20260801		
100	0000100718	2000		3	20241229		
100	0000100719	1000		3	20251026		
100	0000100720	1000		3	20250506		
100	0000100721	1000		3	20251221		
100	0000100722	1000		3	20250601		
100	0000100724	1000		3	20241223		
100	0000100725	2000		3	20250817		
100	0000100728	1000		3	20260413		
100	0000100729	2000		3	20250721		
100	0000100730	1000		3	20250515		
100	0000100732	2000		3	20250129		
100	0000100733	1000		3	20260728		
100	0000100734	1000		3	20250130		
100	0000100735	1000		3	20250316		
100	0000100737	1000		3	20241218		
100	0000100738	1000		3	20250123		
100	0000100741	1000		3	20250108		
100	0000100742	2000		3	20250717		
100	0000100747	1000		3	20250309		
100	0000100750	1000		3	20250714		
100	0000100751	1000		3	20260702		
100	0000100752	1000		3	20260118		
100	0000100753	1000		3	20241201		
100	0000100755	1000		2	20260811		
100	0000100755	2000		3	20241209		
100	0000100756	1000		3	20251019		
100	0000100757	1000		1	20260816		
100	0000100758	1000		3	20241209		
100	0000100761	2000		3	20250127		
100	0000100762	1000		3	20260329		
100	0000100762	2000		3	20250223		
100	0000100764	1000		3	20260423		
100	0000100767	2000		3	20250202		
100	0000100768	2000		3	20250217		
100	0000100769	1000		3	20250216		
100	0000100770	1000		3	20251109		
100	0000100771	1000		3	20260112		
100	0000100772	1000		3	20241219		
100	0000100774	1000		3	20241201		
100	0000100775	1000		3	20260204		
100	0000100776	1000		3	20250309		
100	0000100778	1000		3	20250506		
100	0000100779	2000		3	20250427		
100	0000100782	1000		3	20250608		
100	0000100783	1000		3	20250415		
100	0000100786	2000		1	20260805		
100	0000100787	1000		3	20250731		
100	0000100787	2000		3	20250518		
100	0000100788	1000		3	20250504		
100	0000100789	1000		3	20260726		
100	0000100790	1000		3	20250105		
100	0000100791	2000		3	20250619		
100	0000100792	1000		3	20260104		
100	0000100793	1000		3	20250612		
100	0000100795	2000		3	20241226		
100	0000100796	1000		3	20250312		
100	0000100798	1000		1	20260730		
100	0000100799	1000		3	20250303		
100	0000100799	2000		3	20251012		
100	0000100800	1000		3	20241201		
100	0000100801	1000		3	20260702		
100	0000100802	2000		3	20250907		
100	0000100805	1000		3	20251126		
100	0000100807	2000		3	20241217		
100	0000100808	2000		3	20251019		
100	0000100812	1000		3	20250316		
100	0000100813	1000		3	20260126		
100	0000100814	1000		3	20260517		
100	0000100815	1000		3	20260810		
100	0000100817	1000		3	20250120		
100	0000100818	1000		3	20241222		
100	0000100819	2000		3	20250730		
100	0000100821	1000		3	20250828		
100	0000100822	1000		3	20251211		
100	0000100823	2000		3	20250122		
100	0000100824	1000		3	20250914		
100	0000100825	1000		3	20260222		
100	0000100827	1000		3	20250316		
100	0000100828	1000		3	20250105		
100	0000100829	1000		3	20250703		
100	0000100830	1000		3	20250205		
100	0000100831	1000		3	20260607		
100	0000100831	2000		3	20241204		
100	0000100833	1000		3	20250623		
100	0000100833	2000		3	20250323		
100	0000100835	1000		3	20250505		
100	0000100836	1000		3	20250911		
100	0000100836	2000		1	20260828		
100	0000100839	1000		3	20260302		
100	0000100840	2000		3	20250105		
100	0000100844	2000		3	20250817		
100	0000100845	1000		3	20250713		
100	0000100846	1000		3	20250316		
100	0000100846	2000		3	20250406		
100	0000100847	1000		3	20250706		
100	0000100849	1000		3	20260412		
100	0000100852	1000		3	20260301		
100	0000100852	2000		3	20250105		
100	0000100855	1000		3	20250120		
100	0000100856	2000		3	20241208		
100	0000100858	2000		3	20241209		
100	0000100859	1000		3	20251102		
100	0000100860	1000		3	20251002		
100	0000100862	1000		3	20250602		
100	0000100863	1000		3	20250204		
100	0000100865	1000		3	20260730		
100	0000100867	2000		3	20241203		
100	0000100870	1000		3	20250320		
100	0000100872	1000		3	20250608		
100	0000100872	2000		3	20250611		
100	0000100873	1000		3	20250115		
100	0000100874	1000		3	20250401		
100	0000100878	1000		3	20250127		
100	0000100884	1000		3	20250126		
100	0000100885	1000		3	20241222		
100	0000100887	1000		3	20250223		
100	0000100889	1000		3	20251103		
100	0000100890	1000		3	20260712		
100	0000100895	1000		3	20250907		
100	0000100896	2000		3	20250330		
100	0000100897	1000		3	20260421		
100	0000100897	2000		3	20260604		
100	0000100899	1000		3	20250504		
100	0000100900	2000		3	20250521		
100	0000100902	1000		3	20250227		
100	0000100903	1000		3	20250521		
100	0000100905	1000		3	20260114		
100	0000100906	2000		3	20250105		
100	0000100908	1000		3	20250224		
100	0000100909	1000		3	20250806		
100	0000100910	1000		3	20250921		
100	0000100911	1000		3	20260319		
100	0000100911	2000		3	20250105		
100	0000100914	2000		3	20250518		
100	0000100915	2000		3	20251027		
100	0000100916	1000		3	20260204		
100	0000100919	1000		3	20260301		
100	0000100919	2000		3	20260520		
100	0000100921	1000		3	20250722		
100	0000100924	2000		3	20250708		
100	0000100925	1000		3	20241224		
100	0000100930	1000		3	20250331		
100	0000100931	1000		3	20251026		
100	0000100933	1000		3	20260121		
100	0000100934	1000		3	20260405		
100	0000100936	1000		3	20250209		
100	0000100937	1000		3	20250102		
100	0000100938	2000		3	20250109		
100	0000100941	1000		3	20250417		
100	0000100943	1000		3	20250902		
100	0000100944	2000		3	20250413		
100	0000100946	1000		3	20250518		
100	0000100947	2000		3	20250907		
100	0000100950	1000		3	20250127		
100	0000100951	1000		3	20251204		
100	0000100952	1000		3	20250223		
100	0000100953	1000		3	20250123		
100	0000100954	1000		3	20250105		
100	0000100954	2000		1	20260823		
100	0000100956	2000		3	20260215		
100	0000100957	1000		3	20241208		
100	0000100958	1000		3	20251026		
100	0000100960	1000		3	20260513		
100	0000100961	1000		3	20251102		
100	0000100963	1000		3	20260505		
100	0000100964	1000		3	20241229		
100	0000100965	2000		3	20260426		
100	0000100966	1000		3	20241229		
100	0000100966	2000		3	20250706		
100	0000100967	1000		3	20250202		
100	0000100969	1000		3	20250202		
100	0000100970	1000		2	20260821		
100	0000100970	2000		3	20260104		
100	0000100971	1000		3	20251216		
100	0000100974	1000		3	20250928		
100	0000100975	1000		3	20250618		
100	0000100976	1000		3	20250422		
100	0000100980	1000		3	20251125		
100	0000100981	1000		3	20260802		
100	0000100982	1000		3	20250428		
100	0000100983	1000		3	20260419		
100	0000100985	1000		3	20250323		
100	0000100986	1000		3	20250320		
100	0000100987	1000		3	20250216		
100	0000100988	1000		3	20250224		
100	0000100989	1000		3	20251124		
100	0000100989	2000		3	20250423		
100	0000100990	1000		3	20250319		
100	0000100990	2000		3	20250330		
100	0000100991	1000		3	20250819		
100	0000100992	1000		3	20251030		
100	0000100993	1000		3	20241229		
100	0000100994	1000		3	20250617		
100	0000100997	2000		3	20250213		
100	0000100998	1000		3	20251026		
100	0000101000	1000		3	20250928		
100	0000101001	1000		3	20250309		
100	0000101002	1000		3	20251203		
100	0000101003	1000		3	20250121		
100	0000101004	1000		3	20250910		
100	0000101005	1000		3	20250625		
100	0000101006	1000		3	20250112		
100	0000101007	2000		3	20250302		
100	0000101008	1000		3	20250119		
100	0000101010	1000		3	20260316		
100	0000101011	1000		3	20251204		
100	0000101012	1000		2	20260825		
100	0000101013	1000		3	20250210		
100	0000101013	2000		3	20241230		
100	0000101014	1000		3	20251209		
100	0000101014	2000		3	20250429		
100	0000101015	1000		3	20260614		
100	0000101015	2000		3	20250316		
100	0000101019	1000		3	20260405		
100	0000101020	1000		3	20250410		
100	0000101021	1000		3	20250824		
100	0000101022	1000		3	20250216		
100	0000101023	1000		3	20251109		
100	0000101023	2000		3	20241201		
100	0000101025	1000		3	20241208		
100	0000101026	1000		3	20251130		
100	0000101029	1000		3	20250423		
100	0000101030	1000		3	20250210		
100	0000101032	1000		3	20250706		
100	0000101033	1000		3	20250427		
100	0000101034	1000		3	20260111		
100	0000101035	1000		3	20250806		
100	0000101036	1000		3	20250928		
100	0000101037	2000		3	20250206		
100	0000101040	1000		3	20260120		
100	0000101042	1000		3	20241219		
100	0000101043	2000		3	20241225		
100	0000101046	1000		3	20241215		
100	0000101047	2000		3	20241208		
100	0000101049	1000		3	20241231		
100	0000101050	1000		3	20250820		
100	0000101051	1000		3	20250210		
100	0000101055	1000		3	20251130		
100	0000101056	1000		3	20250407		
100	0000101057	2000		3	20250921		
100	0000101060	2000		3	20250909		
100	0000101061	1000		3	20250107		
100	0000101062	1000		1	20260812		
100	0000101063	1000		3	20250622		
100	0000101064	2000		3	20241208		
100	0000101066	1000		3	20260105		
100	0000101067	2000		3	20250203		
100	0000101068	2000		3	20250416		
100	0000101069	1000		3	20250205		
100	0000101069	2000		3	20251106		
100	0000101070	1000		3	20250807		
100	0000101071	1000		3	20260727		
100	0000101072	1000		1	20260812		
100	0000101080	2000		3	20241215		
100	0000101082	1000		3	20250413		
100	0000101084	2000		3	20250227		
100	0000101085	1000		3	20260823		
100	0000101086	2000		3	20260628		
100	0000101087	1000		3	20250309		
100	0000101090	1000		3	20250107		
100	0000101091	1000		3	20250727		
100	0000101092	1000		3	20260519		
100	0000101094	2000		3	20250216		
100	0000101095	1000		3	20250507		
100	0000101096	1000		3	20241212		
100	0000101097	1000		3	20241216		
100	0000101098	1000		3	20250105		
100	0000101098	2000		3	20250603		
100	0000101100	1000		3	20250810		
100	0000101102	1000		3	20250318		
100	0000101104	2000		3	20251116		
100	0000101105	1000		3	20260329		
100	0000101106	1000		3	20250615		
100	0000101109	1000		3	20250728		
100	0000101110	1000		3	20250410		
100	0000101111	1000		3	20251209		
100	0000101112	1000		3	20260706		
100	0000101112	2000		3	20250522		
100	0000101115	1000		3	20260528		
100	0000101116	1000		3	20250109		
100	0000101119	1000		3	20250319		
100	0000101120	1000		3	20250420		
100	0000101121	1000		3	20251102		
100	0000101123	2000		3	20260604		
100	0000101126	1000		3	20250806		
100	0000101129	2000		3	20250407		
100	0000101131	1000		3	20250522		
100	0000101132	1000		3	20250202		
100	0000101134	1000		3	20250112		
100	0000101135	2000		3	20250515		
100	0000101136	2000		3	20250325		
100	0000101139	2000		3	20250119		
100	0000101140	1000		3	20250302		
100	0000101143	2000		3	20250504		
100	0000101144	1000		3	20260120		
100	0000101146	1000		3	20250429		
100	0000101148	2000		3	20250519		
100	0000101149	1000		3	20241217		
100	0000101150	1000		3	20250224		
100	0000101151	2000		3	20250213		
100	0000101154	1000		3	20241215		
100	0000101156	1000		3	20241230		
100	0000101157	1000		3	20250323		
100	0000101158	1000		1	20260816		
100	0000101160	2000		3	20260315		
100	0000101162	2000		3	20250527		
100	0000101163	1000		3	20250403		
100	0000101163	2000		3	20241229		
100	0000101165	1000		3	20260601		
100	0000101166	1000		3	20250423		
100	0000101167	1000		3	20251202		
100	0000101168	1000		3	20251130		
100	0000101171	1000		3	20250218		
100	0000101171	2000		3	20241216		
100	0000101172	1000		3	20250911		
100	0000101173	1000		3	20250402		
100	0000101174	1000		3	20250601		
100	0000101176	1000		3	20250223		
100	0000101177	2000		3	20250119		
100	0000101179	1000		3	20250123		
100	0000101180	1000		3	20250302		
100	0000101182	1000		3	20241212		
100	0000101183	1000		3	20250121		
100	0000101184	1000		3	20250817		
100	0000101186	1000		3	20250608		
100	0000101190	1000		3	20250422		
100	0000101192	2000		3	20241230		
100	0000101193	1000		3	20260427		
100	0000101194	1000		1	20260819		
100	0000101195	1000		3	20250602		
100	0000101197	1000		3	20241212		
100	0000101199	2000		3	20250123		
100	0000101200	2000		3	20250119		
100	0000101202	1000		3	20250331		
100	0000101203	1000		3	20250316		
100	0000101205	1000		3	20260217		
100	0000101206	1000		3	20250202		
100	0000101208	1000		3	20250106		
100	0000101209	1000		3	20250803		
100	0000101210	2000		3	20241209		
100	0000101211	1000		3	20251126		
100	0000101211	2000		3	20250708		
100	0000101214	1000		3	20260726		
100	0000101214	2000		3	20250601		
100	0000101215	1000		3	20241229		
100	0000101216	1000		3	20250706		
100	0000101218	1000		3	20250324		
100	0000101219	1000		3	20260504		
100	0000101219	2000		3	20251204		
100	0000101220	2000		3	20241215		
100	0000101221	1000		3	20250806		
100	0000101223	1000		3	20251023		
100	0000101224	1000		3	20251215		
100	0000101225	1000		3	20241222		
100	0000101225	2000		3	20250310		
100	0000101228	1000		3	20250213		
100	0000101229	1000		3	20250126		
100	0000101231	1000		3	20250216		
100	0000101234	1000		3	20250330		
100	0000101235	1000		3	20250514		
100	0000101236	1000		3	20250224		
100	0000101237	2000		3	20250309		
100	0000101238	1000		3	20250116		
100	0000101239	1000		3	20250108		
100	0000101240	1000		3	20250209		
100	0000101241	1000		3	20250213		
100	0000101241	2000		3	20260113		
100	0000101243	2000		3	20260621		
100	0000101244	1000		3	20250105		
100	0000101246	2000		1	20260822		
100	0000101248	1000		3	20250512		
100	0000101251	1000		3	20250326		
100	0000101252	1000		3	20250327		
100	0000101253	1000		3	20260414		
100	0000101255	1000		3	20260505		
100	0000101257	1000		3	20251029		
100	0000101259	1000		3	20250316		
