MANDT	KUNNR	VKORG	VTWEG	SPART	PARVW	KUNN2	PARZA
100	0000100120	1000	10	00	AG	0000100120	000
100	0000100121	1000	10	00	AG	0000100121	000
100	0000100122	1000	10	00	AG	0000100122	000
100	0000100122	2000	10	00	AG	0000100122	000
100	0000100123	2000	10	00	AG	0000100123	000
100	0000100124	1000	10	00	AG	0000100124	000
100	0000100124	2000	10	00	AG	0000100124	000
100	0000100125	1000	10	00	AG	0000100125	000
100	0000100126	1000	10	00	AG	0000100126	000
100	0000100128	1000	10	00	AG	0000100128	000
100	0000100128	2000	10	00	AG	0000100128	000
100	0000100129	1000	10	00	AG	0000100129	000
100	0000100130	1000	10	00	AG	0000100130	000
100	0000100131	1000	10	00	AG	0000100131	000
100	0000100132	1000	10	00	AG	0000100132	000
100	0000100133	2000	10	00	AG	0000100133	000
100	0000100134	2000	10	00	AG	0000100134	000
100	0000100135	1000	10	00	AG	0000100135	000
100	0000100138	1000	10	00	AG	0000100138	000
100	0000100140	1000	10	00	AG	0000100140	000
100	0000100141	1000	10	00	AG	0000100141	000
100	0000100142	1000	10	00	AG	0000100142	000
100	0000100143	1000	10	00	AG	0000100143	000
100	0000100144	1000	10	00	AG	0000100144	000
100	0000100146	1000	10	00	AG	0000100146	000
100	0000100147	2000	10	00	AG	0000100147	000
100	0000100152	2000	10	00	AG	0000100152	000
100	0000100153	1000	10	00	AG	0000100153	000
100	0000100153	2000	10	00	AG	0000100153	000
100	0000100156	1000	10	00	AG	0000100156	000
100	0000100157	1000	10	00	AG	0000100157	000
100	0000100158	1000	10	00	AG	0000100158	000
100	0000100159	1000	10	00	AG	0000100159	000
100	0000100161	1000	10	00	AG	0000100161	000
100	0000100162	1000	10	00	AG	0000100162	000
100	0000100163	1000	10	00	AG	0000100163	000
100	0000100165	1000	10	00	AG	0000100165	000
100	0000100168	1000	10	00	AG	0000100168	000
100	0000100171	2000	10	00	AG	0000100171	000
100	0000100172	1000	10	00	AG	0000100172	000
100	0000100175	1000	10	00	AG	0000100175	000
100	0000100176	1000	10	00	AG	0000100176	000
100	0000100177	1000	10	00	AG	0000100177	000
100	0000100179	1000	10	00	AG	0000100179	000
100	0000100181	1000	10	00	AG	0000100181	000
100	0000100182	2000	10	00	AG	0000100182	000
100	0000100183	1000	10	00	AG	0000100183	000
100	0000100183	2000	10	00	AG	0000100183	000
100	0000100185	1000	10	00	AG	0000100185	000
100	0000100185	2000	10	00	AG	0000100185	000
100	0000100186	1000	10	00	AG	0000100186	000
100	0000100187	1000	10	00	AG	0000100187	000
100	0000100188	1000	10	00	AG	0000100188	000
100	0000100189	1000	10	00	AG	0000100189	000
100	0000100191	1000	10	00	AG	0000100191	000
100	0000100191	2000	10	00	AG	0000100191	000
100	0000100192	1000	10	00	AG	0000100192	000
100	0000100194	1000	10	00	AG	0000100194	000
100	0000100195	1000	10	00	AG	0000100195	000
100	0000100195	2000	10	00	AG	0000100195	000
100	0000100196	1000	10	00	AG	0000100196	000
100	0000100197	1000	10	00	AG	0000100197	000
100	0000100199	2000	10	00	AG	0000100199	000
100	0000100201	1000	10	00	AG	0000100201	000
100	0000100201	2000	10	00	AG	0000100201	000
100	0000100203	1000	10	00	AG	0000100203	000
100	0000100203	2000	10	00	AG	0000100203	000
100	0000100206	1000	10	00	AG	0000100206	000
100	0000100208	1000	10	00	AG	0000100208	000
100	0000100212	2000	10	00	AG	0000100212	000
100	0000100213	1000	10	00	AG	0000100213	000
100	0000100214	1000	10	00	AG	0000100214	000
100	0000100215	2000	10	00	AG	0000100215	000
100	0000100216	2000	10	00	AG	0000100216	000
100	0000100217	1000	10	00	AG	0000100217	000
100	0000100218	2000	10	00	AG	0000100218	000
100	0000100219	2000	10	00	AG	0000100219	000
100	0000100220	1000	10	00	AG	0000100220	000
100	0000100221	1000	10	00	AG	0000100221	000
100	0000100222	1000	10	00	AG	0000100222	000
100	0000100224	1000	10	00	AG	0000100224	000
100	0000100226	1000	10	00	AG	0000100226	000
100	0000100226	2000	10	00	AG	0000100226	000
100	0000100228	1000	10	00	AG	0000100228	000
100	0000100230	1000	10	00	AG	0000100230	000
100	0000100231	2000	10	00	AG	0000100231	000
100	0000100232	1000	10	00	AG	0000100232	000
100	0000100233	1000	10	00	AG	0000100233	000
100	0000100234	1000	10	00	AG	0000100234	000
100	0000100234	2000	10	00	AG	0000100234	000
100	0000100235	1000	10	00	AG	0000100235	000
100	0000100236	1000	10	00	AG	0000100236	000
100	0000100237	1000	10	00	AG	0000100237	000
100	0000100238	2000	10	00	AG	0000100238	000
100	0000100240	1000	10	00	AG	0000100240	000
100	0000100240	2000	10	00	AG	0000100240	000
100	0000100241	1000	10	00	AG	0000100241	000
100	0000100242	1000	10	00	AG	0000100242	000
100	0000100244	1000	10	00	AG	0000100244	000
100	0000100245	1000	10	00	AG	0000100245	000
100	0000100245	2000	10	00	AG	0000100245	000
100	0000100246	1000	10	00	AG	0000100246	000
100	0000100247	1000	10	00	AG	0000100247	000
100	0000100248	1000	10	00	AG	0000100248	000
100	0000100249	1000	10	00	AG	0000100249	000
100	0000100250	1000	10	00	AG	0000100250	000
100	0000100250	2000	10	00	AG	0000100250	000
100	0000100252	1000	10	00	AG	0000100252	000
100	0000100253	1000	10	00	AG	0000100253	000
100	0000100254	1000	10	00	AG	0000100254	000
100	0000100256	2000	10	00	AG	0000100256	000
100	0000100257	1000	10	00	AG	0000100257	000
100	0000100259	1000	10	00	AG	0000100259	000
100	0000100260	1000	10	00	AG	0000100260	000
100	0000100261	1000	10	00	AG	0000100261	000
100	0000100262	1000	10	00	AG	0000100262	000
100	0000100263	2000	10	00	AG	0000100263	000
100	0000100264	1000	10	00	AG	0000100264	000
100	0000100266	1000	10	00	AG	0000100266	000
100	0000100266	2000	10	00	AG	0000100266	000
100	0000100267	1000	10	00	AG	0000100267	000
100	0000100268	1000	10	00	AG	0000100268	000
100	0000100269	2000	10	00	AG	0000100269	000
100	0000100271	1000	10	00	AG	0000100271	000
100	0000100272	1000	10	00	AG	0000100272	000
100	0000100273	1000	10	00	AG	0000100273	000
100	0000100275	1000	10	00	AG	0000100275	000
100	0000100276	1000	10	00	AG	0000100276	000
100	0000100277	2000	10	00	AG	0000100277	000
100	0000100279	1000	10	00	AG	0000100279	000
100	0000100280	1000	10	00	AG	0000100280	000
100	0000100281	1000	10	00	AG	0000100281	000
100	0000100282	1000	10	00	AG	0000100282	000
100	0000100283	1000	10	00	AG	0000100283	000
100	0000100284	1000	10	00	AG	0000100284	000
100	0000100285	1000	10	00	AG	0000100285	000
100	0000100286	1000	10	00	AG	0000100286	000
100	0000100287	1000	10	00	AG	0000100287	000
100	0000100288	2000	10	00	AG	0000100288	000
100	0000100289	2000	10	00	AG	0000100289	000
100	0000100290	1000	10	00	AG	0000100290	000
100	0000100291	1000	10	00	AG	0000100291	000
100	0000100292	2000	10	00	AG	0000100292	000
100	0000100293	1000	10	00	AG	0000100293	000
100	0000100295	1000	10	00	AG	0000100295	000
100	0000100296	1000	10	00	AG	0000100296	000
100	0000100296	2000	10	00	AG	0000100296	000
100	0000100298	2000	10	00	AG	0000100298	000
100	0000100301	2000	10	00	AG	0000100301	000
100	0000100302	2000	10	00	AG	0000100302	000
100	0000100303	1000	10	00	AG	0000100303	000
100	0000100305	1000	10	00	AG	0000100305	000
100	0000100306	1000	10	00	AG	0000100306	000
100	0000100308	2000	10	00	AG	0000100308	000
100	0000100309	1000	10	00	AG	0000100309	000
100	0000100313	1000	10	00	AG	0000100313	000
100	0000100315	2000	10	00	AG	0000100315	000
100	0000100316	1000	10	00	AG	0000100316	000
100	0000100317	1000	10	00	AG	0000100317	000
100	0000100319	1000	10	00	AG	0000100319	000
100	0000100321	1000	10	00	AG	0000100321	000
100	0000100322	1000	10	00	AG	0000100322	000
100	0000100323	1000	10	00	AG	0000100323	000
100	0000100324	2000	10	00	AG	0000100324	000
100	0000100327	1000	10	00	AG	0000100327	000
100	0000100328	1000	10	00	AG	0000100328	000
100	0000100329	1000	10	00	AG	0000100329	000
100	0000100330	1000	10	00	AG	0000100330	000
100	0000100331	1000	10	00	AG	0000100331	000
100	0000100332	1000	10	00	AG	0000100332	000
100	0000100333	2000	10	00	AG	0000100333	000
100	0000100334	2000	10	00	AG	0000100334	000
100	0000100335	1000	10	00	AG	0000100335	000
100	0000100336	1000	10	00	AG	0000100336	000
100	0000100338	1000	10	00	AG	0000100338	000
100	0000100340	1000	10	00	AG	0000100340	000
100	0000100342	1000	10	00	AG	0000100342	000
100	0000100344	1000	10	00	AG	0000100344	000
100	0000100344	2000	10	00	AG	0000100344	000
100	0000100345	1000	10	00	AG	0000100345	000
100	0000100346	1000	10	00	AG	0000100346	000
100	0000100348	1000	10	00	AG	0000100348	000
100	0000100349	1000	10	00	AG	0000100349	000
100	0000100349	2000	10	00	AG	0000100349	000
100	0000100353	1000	10	00	AG	0000100353	000
100	0000100355	1000	10	00	AG	0000100355	000
100	0000100358	1000	10	00	AG	0000100358	000
100	0000100360	1000	10	00	AG	0000100360	000
100	0000100361	1000	10	00	AG	0000100361	000
100	0000100362	1000	10	00	AG	0000100362	000
100	0000100363	1000	10	00	AG	0000100363	000
100	0000100364	1000	10	00	AG	0000100364	000
100	0000100366	1000	10	00	AG	0000100366	000
100	0000100368	1000	10	00	AG	0000100368	000
100	0000100369	1000	10	00	AG	0000100369	000
100	0000100370	1000	10	00	AG	0000100370	000
100	0000100371	2000	10	00	AG	0000100371	000
100	0000100372	1000	10	00	AG	0000100372	000
100	0000100374	1000	10	00	AG	0000100374	000
100	0000100375	2000	10	00	AG	0000100375	000
100	0000100377	1000	10	00	AG	0000100377	000
100	0000100382	2000	10	00	AG	0000100382	000
100	0000100383	1000	10	00	AG	0000100383	000
100	0000100385	1000	10	00	AG	0000100385	000
100	0000100386	1000	10	00	AG	0000100386	000
100	0000100388	1000	10	00	AG	0000100388	000
100	0000100389	2000	10	00	AG	0000100389	000
100	0000100391	1000	10	00	AG	0000100391	000
100	0000100393	1000	10	00	AG	0000100393	000
100	0000100394	2000	10	00	AG	0000100394	000
100	0000100396	2000	10	00	AG	0000100396	000
100	0000100397	1000	10	00	AG	0000100397	000
100	0000100401	1000	10	00	AG	0000100401	000
100	0000100401	2000	10	00	AG	0000100401	000
100	0000100403	1000	10	00	AG	0000100403	000
100	0000100403	2000	10	00	AG	0000100403	000
100	0000100406	1000	10	00	AG	0000100406	000
100	0000100407	2000	10	00	AG	0000100407	000
100	0000100408	2000	10	00	AG	0000100408	000
100	0000100409	1000	10	00	AG	0000100409	000
100	0000100410	2000	10	00	AG	0000100410	000
100	0000100411	2000	10	00	AG	0000100411	000
100	0000100412	1000	10	00	AG	0000100412	000
100	0000100413	1000	10	00	AG	0000100413	000
100	0000100413	2000	10	00	AG	0000100413	000
100	0000100414	1000	10	00	AG	0000100414	000
100	0000100415	1000	10	00	AG	0000100415	000
100	0000100417	1000	10	00	AG	0000100417	000
100	0000100418	1000	10	00	AG	0000100418	000
100	0000100419	1000	10	00	AG	0000100419	000
100	0000100422	1000	10	00	AG	0000100422	000
100	0000100424	1000	10	00	AG	0000100424	000
100	0000100425	1000	10	00	AG	0000100425	000
100	0000100426	1000	10	00	AG	0000100426	000
100	0000100427	1000	10	00	AG	0000100427	000
100	0000100429	1000	10	00	AG	0000100429	000
100	0000100430	1000	10	00	AG	0000100430	000
100	0000100430	2000	10	00	AG	0000100430	000
100	0000100434	1000	10	00	AG	0000100434	000
100	0000100437	1000	10	00	AG	0000100437	000
100	0000100441	1000	10	00	AG	0000100441	000
100	0000100443	1000	10	00	AG	0000100443	000
100	0000100444	1000	10	00	AG	0000100444	000
100	0000100445	1000	10	00	AG	0000100445	000
100	0000100446	2000	10	00	AG	0000100446	000
100	0000100447	1000	10	00	AG	0000100447	000
100	0000100449	2000	10	00	AG	0000100449	000
100	0000100450	1000	10	00	AG	0000100450	000
100	0000100451	1000	10	00	AG	0000100451	000
100	0000100452	2000	10	00	AG	0000100452	000
100	0000100454	1000	10	00	AG	0000100454	000
100	0000100455	1000	10	00	AG	0000100455	000
100	0000100457	1000	10	00	AG	0000100457	000
100	0000100457	2000	10	00	AG	0000100457	000
100	0000100460	1000	10	00	AG	0000100460	000
100	0000100462	1000	10	00	AG	0000100462	000
100	0000100464	1000	10	00	AG	0000100464	000
100	0000100466	1000	10	00	AG	0000100466	000
100	0000100468	1000	10	00	AG	0000100468	000
100	0000100469	1000	10	00	AG	0000100469	000
100	0000100470	1000	10	00	AG	0000100470	000
100	0000100471	1000	10	00	AG	0000100471	000
100	0000100472	1000	10	00	AG	0000100472	000
100	0000100473	1000	10	00	AG	0000100473	000
100	0000100477	1000	10	00	AG	0000100477	000
100	0000100479	2000	10	00	AG	0000100479	000
100	0000100480	2000	10	00	AG	0000100480	000
100	0000100481	1000	10	00	AG	0000100481	000
100	0000100484	2000	10	00	AG	0000100484	000
100	0000100485	2000	10	00	AG	0000100485	000
100	0000100490	1000	10	00	AG	0000100490	000
100	0000100490	2000	10	00	AG	0000100490	000
100	0000100492	1000	10	00	AG	0000100492	000
100	0000100493	2000	10	00	AG	0000100493	000
100	0000100496	1000	10	00	AG	0000100496	000
100	0000100499	1000	10	00	AG	0000100499	000
100	0000100505	1000	10	00	AG	0000100505	000
100	0000100505	2000	10	00	AG	0000100505	000
100	0000100506	2000	10	00	AG	0000100506	000
100	0000100508	1000	10	00	AG	0000100508	000
100	0000100512	1000	10	00	AG	0000100512	000
100	0000100513	1000	10	00	AG	0000100513	000
100	0000100514	1000	10	00	AG	0000100514	000
100	0000100515	1000	10	00	AG	0000100515	000
100	0000100516	1000	10	00	AG	0000100516	000
100	0000100519	2000	10	00	AG	0000100519	000
100	0000100520	2000	10	00	AG	0000100520	000
100	0000100521	1000	10	00	AG	0000100521	000
100	0000100522	1000	10	00	AG	0000100522	000
100	0000100524	1000	10	00	AG	0000100524	000
100	0000100524	2000	10	00	AG	0000100524	000
100	0000100526	1000	10	00	AG	0000100526	000
100	0000100527	2000	10	00	AG	0000100527	000
100	0000100530	1000	10	00	AG	0000100530	000
100	0000100531	1000	10	00	AG	0000100531	000
100	0000100533	1000	10	00	AG	0000100533	000
100	0000100534	1000	10	00	AG	0000100534	000
100	0000100537	1000	10	00	AG	0000100537	000
100	0000100540	1000	10	00	AG	0000100540	000
100	0000100541	2000	10	00	AG	0000100541	000
100	0000100542	1000	10	00	AG	0000100542	000
100	0000100545	1000	10	00	AG	0000100545	000
100	0000100546	1000	10	00	AG	0000100546	000
100	0000100548	1000	10	00	AG	0000100548	000
100	0000100552	1000	10	00	AG	0000100552	000
100	0000100553	1000	10	00	AG	0000100553	000
100	0000100553	2000	10	00	AG	0000100553	000
100	0000100554	1000	10	00	AG	0000100554	000
100	0000100555	1000	10	00	AG	0000100555	000
100	0000100556	2000	10	00	AG	0000100556	000
100	0000100559	1000	10	00	AG	0000100559	000
100	0000100559	2000	10	00	AG	0000100559	000
100	0000100560	2000	10	00	AG	0000100560	000
100	0000100561	1000	10	00	AG	0000100561	000
100	0000100562	1000	10	00	AG	0000100562	000
100	0000100566	1000	10	00	AG	0000100566	000
100	0000100567	2000	10	00	AG	0000100567	000
100	0000100570	1000	10	00	AG	0000100570	000
100	0000100572	1000	10	00	AG	0000100572	000
100	0000100572	2000	10	00	AG	0000100572	000
100	0000100573	2000	10	00	AG	0000100573	000
100	0000100574	1000	10	00	AG	0000100574	000
100	0000100574	2000	10	00	AG	0000100574	000
100	0000100578	1000	10	00	AG	0000100578	000
100	0000100579	2000	10	00	AG	0000100579	000
100	0000100580	1000	10	00	AG	0000100580	000
100	0000100581	1000	10	00	AG	0000100581	000
100	0000100582	2000	10	00	AG	0000100582	000
100	0000100584	1000	10	00	AG	0000100584	000
100	0000100584	2000	10	00	AG	0000100584	000
100	0000100585	1000	10	00	AG	0000100585	000
100	0000100586	1000	10	00	AG	0000100586	000
100	0000100587	1000	10	00	AG	0000100587	000
100	0000100588	2000	10	00	AG	0000100588	000
100	0000100593	1000	10	00	AG	0000100593	000
100	0000100595	2000	10	00	AG	0000100595	000
100	0000100599	1000	10	00	AG	0000100599	000
100	0000100600	1000	10	00	AG	0000100600	000
100	0000100601	1000	10	00	AG	0000100601	000
100	0000100602	1000	10	00	AG	0000100602	000
100	0000100603	1000	10	00	AG	0000100603	000
100	0000100604	1000	10	00	AG	0000100604	000
100	0000100605	1000	10	00	AG	0000100605	000
100	0000100609	1000	10	00	AG	0000100609	000
100	0000100610	1000	10	00	AG	0000100610	000
100	0000100613	1000	10	00	AG	0000100613	000
100	0000100614	2000	10	00	AG	0000100614	000
100	0000100615	1000	10	00	AG	0000100615	000
100	0000100617	1000	10	00	AG	0000100617	000
100	0000100618	1000	10	00	AG	0000100618	000
100	0000100619	1000	10	00	AG	0000100619	000
100	0000100620	2000	10	00	AG	0000100620	000
100	0000100621	1000	10	00	AG	0000100621	000
100	0000100624	2000	10	00	AG	0000100624	000
100	0000100626	2000	10	00	AG	0000100626	000
100	0000100627	2000	10	00	AG	0000100627	000
100	0000100629	1000	10	00	AG	0000100629	000
100	0000100632	1000	10	00	AG	0000100632	000
100	0000100633	2000	10	00	AG	0000100633	000
100	0000100634	1000	10	00	AG	0000100634	000
100	0000100636	1000	10	00	AG	0000100636	000
100	0000100638	2000	10	00	AG	0000100638	000
100	0000100639	1000	10	00	AG	0000100639	000
100	0000100640	1000	10	00	AG	0000100640	000
100	0000100642	1000	10	00	AG	0000100642	000
100	0000100643	1000	10	00	AG	0000100643	000
100	0000100644	1000	10	00	AG	0000100644	000
100	0000100645	1000	10	00	AG	0000100645	000
100	0000100647	1000	10	00	AG	0000100647	000
100	0000100648	1000	10	00	AG	0000100648	000
100	0000100649	2000	10	00	AG	0000100649	000
100	0000100650	1000	10	00	AG	0000100650	000
100	0000100651	2000	10	00	AG	0000100651	000
100	0000100652	1000	10	00	AG	0000100652	000
100	0000100653	1000	10	00	AG	0000100653	000
100	0000100655	2000	10	00	AG	0000100655	000
100	0000100658	1000	10	00	AG	0000100658	000
100	0000100659	1000	10	00	AG	0000100659	000
100	0000100660	1000	10	00	AG	0000100660	000
100	0000100662	2000	10	00	AG	0000100662	000
100	0000100663	1000	10	00	AG	0000100663	000
100	0000100664	2000	10	00	AG	0000100664	000
100	0000100665	1000	10	00	AG	0000100665	000
100	0000100666	1000	10	00	AG	0000100666	000
100	0000100667	1000	10	00	AG	0000100667	000
100	0000100667	2000	10	00	AG	0000100667	000
100	0000100668	1000	10	00	AG	0000100668	000
100	0000100669	1000	10	00	AG	0000100669	000
100	0000100670	1000	10	00	AG	0000100670	000
100	0000100671	1000	10	00	AG	0000100671	000
100	0000100672	1000	10	00	AG	0000100672	000
100	0000100674	1000	10	00	AG	0000100674	000
100	0000100676	2000	10	00	AG	0000100676	000
100	0000100677	1000	10	00	AG	0000100677	000
100	0000100678	1000	10	00	AG	0000100678	000
100	0000100679	1000	10	00	AG	0000100679	000
100	0000100680	1000	10	00	AG	0000100680	000
100	0000100681	1000	10	00	AG	0000100681	000
100	0000100682	1000	10	00	AG	0000100682	000
100	0000100687	1000	10	00	AG	0000100687	000
100	0000100688	2000	10	00	AG	0000100688	000
100	0000100689	1000	10	00	AG	0000100689	000
100	0000100691	1000	10	00	AG	0000100691	000
100	0000100692	1000	10	00	AG	0000100692	000
100	0000100695	1000	10	00	AG	0000100695	000
100	0000100697	1000	10	00	AG	0000100697	000
100	0000100697	2000	10	00	AG	0000100697	000
100	0000100698	1000	10	00	AG	0000100698	000
100	0000100700	1000	10	00	AG	0000100700	000
100	0000100701	1000	10	00	AG	0000100701	000
100	0000100702	1000	10	00	AG	0000100702	000
100	0000100705	1000	10	00	AG	0000100705	000
100	0000100706	1000	10	00	AG	0000100706	000
100	0000100713	2000	10	00	AG	0000100713	000
100	0000100716	1000	10	00	AG	0000100716	000
100	0000100716	2000	10	00	AG	0000100716	000
100	0000100717	1000	10	00	AG	0000100717	000
100	0000100718	2000	10	00	AG	0000100718	000
100	0000100719	1000	10	00	AG	0000100719	000
100	0000100720	1000	10	00	AG	0000100720	000
100	0000100721	1000	10	00	AG	0000100721	000
100	0000100722	1000	10	00	AG	0000100722	000
100	0000100724	1000	10	00	AG	0000100724	000
100	0000100725	2000	10	00	AG	0000100725	000
100	0000100728	1000	10	00	AG	0000100728	000
100	0000100729	1000	10	00	AG	0000100729	000
100	0000100729	2000	10	00	AG	0000100729	000
100	0000100730	1000	10	00	AG	0000100730	000
100	0000100731	1000	10	00	AG	0000100731	000
100	0000100732	2000	10	00	AG	0000100732	000
100	0000100733	1000	10	00	AG	0000100733	000
100	0000100734	1000	10	00	AG	0000100734	000
100	0000100735	1000	10	00	AG	0000100735	000
100	0000100737	1000	10	00	AG	0000100737	000
100	0000100738	1000	10	00	AG	0000100738	000
100	0000100741	1000	10	00	AG	0000100741	000
100	0000100742	2000	10	00	AG	0000100742	000
100	0000100745	1000	10	00	AG	0000100745	000
100	0000100747	1000	10	00	AG	0000100747	000
100	0000100750	1000	10	00	AG	0000100750	000
100	0000100751	1000	10	00	AG	0000100751	000
100	0000100752	1000	10	00	AG	0000100752	000
100	0000100753	1000	10	00	AG	0000100753	000
100	0000100755	1000	10	00	AG	0000100755	000
100	0000100755	2000	10	00	AG	0000100755	000
100	0000100756	1000	10	00	AG	0000100756	000
100	0000100757	1000	10	00	AG	0000100757	000
100	0000100757	2000	10	00	AG	0000100757	000
100	0000100758	1000	10	00	AG	0000100758	000
100	0000100761	2000	10	00	AG	0000100761	000
100	0000100762	1000	10	00	AG	0000100762	000
100	0000100762	2000	10	00	AG	0000100762	000
100	0000100764	1000	10	00	AG	0000100764	000
100	0000100765	2000	10	00	AG	0000100765	000
100	0000100767	2000	10	00	AG	0000100767	000
100	0000100768	2000	10	00	AG	0000100768	000
100	0000100769	1000	10	00	AG	0000100769	000
100	0000100770	1000	10	00	AG	0000100770	000
100	0000100771	1000	10	00	AG	0000100771	000
100	0000100772	1000	10	00	AG	0000100772	000
100	0000100773	1000	10	00	AG	0000100773	000
100	0000100774	1000	10	00	AG	0000100774	000
100	0000100775	1000	10	00	AG	0000100775	000
100	0000100776	1000	10	00	AG	0000100776	000
100	0000100778	1000	10	00	AG	0000100778	000
100	0000100779	2000	10	00	AG	0000100779	000
100	0000100782	1000	10	00	AG	0000100782	000
100	0000100783	1000	10	00	AG	0000100783	000
100	0000100786	1000	10	00	AG	0000100786	000
100	0000100786	2000	10	00	AG	0000100786	000
100	0000100787	1000	10	00	AG	0000100787	000
100	0000100787	2000	10	00	AG	0000100787	000
100	0000100788	1000	10	00	AG	0000100788	000
100	0000100789	1000	10	00	AG	0000100789	000
100	0000100790	1000	10	00	AG	0000100790	000
100	0000100791	2000	10	00	AG	0000100791	000
100	0000100792	1000	10	00	AG	0000100792	000
100	0000100793	1000	10	00	AG	0000100793	000
100	0000100795	2000	10	00	AG	0000100795	000
100	0000100796	1000	10	00	AG	0000100796	000
100	0000100798	1000	10	00	AG	0000100798	000
100	0000100799	1000	10	00	AG	0000100799	000
100	0000100799	2000	10	00	AG	0000100799	000
100	0000100800	1000	10	00	AG	0000100800	000
100	0000100801	1000	10	00	AG	0000100801	000
100	0000100802	2000	10	00	AG	0000100802	000
100	0000100803	1000	10	00	AG	0000100803	000
100	0000100805	1000	10	00	AG	0000100805	000
100	0000100807	2000	10	00	AG	0000100807	000
100	0000100808	2000	10	00	AG	0000100808	000
100	0000100812	1000	10	00	AG	0000100812	000
100	0000100813	1000	10	00	AG	0000100813	000
100	0000100814	1000	10	00	AG	0000100814	000
100	0000100815	1000	10	00	AG	0000100815	000
100	0000100817	1000	10	00	AG	0000100817	000
100	0000100818	1000	10	00	AG	0000100818	000
100	0000100819	2000	10	00	AG	0000100819	000
100	0000100821	1000	10	00	AG	0000100821	000
100	0000100822	1000	10	00	AG	0000100822	000
100	0000100823	2000	10	00	AG	0000100823	000
100	0000100824	1000	10	00	AG	0000100824	000
100	0000100825	1000	10	00	AG	0000100825	000
100	0000100827	1000	10	00	AG	0000100827	000
100	0000100828	1000	10	00	AG	0000100828	000
100	0000100829	1000	10	00	AG	0000100829	000
100	0000100830	1000	10	00	AG	0000100830	000
100	0000100831	1000	10	00	AG	0000100831	000
