MANDT	LIFNR	LAND1	NAME1	NAME2	NAME3	NAME4	SORTL	ORT01	PSTLZ	REGIO	STRAS	PFACH	PSTL2	ADRNR	KTOKK	XCPDK	LOEVM	SPERR	LNRZA	KONZS	SPRAS	ERDAT	ERNAM	TELF1	STCD1	STCD2	STCEG
100	0000200014	DE	Dornweg Messtechnik GmbH				DORNWEG	Stuttgart	70173	BW	Industriering 44			0500000014	KRED						D	20201009	SAPUSER1	0435 9433099	682/540/30096		DE358344802
100	0000200015	DE	Rheinweg Logistik KGaA				RHEINWEG	Wolfenbüttel	38300	NI	Lerchenplatz 95	49860	38300	0500000015	KRED						D	20190412	SAPUSER5	0694 3308525	450/866/54524		DE117103755
100	0000200017	DE	Lärchenweg Armaturen GmbH & Co. KG				LÄRCHENWEG	Frechen	50226	NW	Bahnhofweg 51			0500000016	KRED						D	20230819	SAPUSER1	0747 9708514	529/321/68010		DE446057118
100	0000200021	DE	Haselau Kunststofftechnik KG				HASELAU	Lübeck	23552	SH	Quellenring 61			0500000017	KRED						D	20201008	SAPUSER3	0241 8388302	649/215/92628		DE151416275
100	0000200023	DE	Espenried Pumpen OHG				ESPENRIED	Ingolstadt	85049	BY	Domgasse 105b			0500000018	KRED						D	20211104	SAPUSER2	0273 3091115	376/625/69006		DE978380222
100	0000200024	FR	Haselgrund Antriebstechnik S.A.R.L.				HASELGRUND	Marseille	13001		Amselplatz 135			0500000019	KRED						F	20210601	SAPUSER3	0613 8852902			FR10784600603
100	0000200025	DE	Hochsee Formenbau GmbH				HOCHSEE	Lübeck	23552	SH	Heidestraße 191b			0500000020	KRED						D	20211224	SAPUSER5	0517 494585	656/453/32135		DE986679867
100	0000200027	DE	Steinwald Formenbau GmbH				STEINWALD	Norderstedt	22846	SH	Poststraße 167			0500000021	KRED						D	20220403	SAPUSER1	0460 6029364	448/978/43484		DE995373244
100	0000200029	DE	Birkenried Recycling KGaA				BIRKENRIED	Paderborn	33098	NW	Kirschallee 153a			0500000022	LIEF	X					D	20191227	SAPUSER2	0921 8071399	182/379/84280		DE977173311
100	0000200030	DE	Eichried Metallbau GmbH & Co. KG				EICHRIED	Unna	59423	NW	Gartenring 49			0500000023	KRED						D	20190914	SAPUSER4	0960 3615300	193/234/44178		DE228429018
100	0000200031	DE	Nordheim Elektrotechnik GmbH & Co. KG				NORDHEIM	Baden-Baden	76530	BW	Feldgasse 195			0500000024	KRED						D	20230701	SAPUSER5	0677 5905289	672/498/42638		DE778162627
100	0000200033	DE	Haseltal Armaturen e.K.				HASELTAL	Nordenham	26954	NI	Zeppelindamm 131			0500000025	KRED						D	20210706	SAPUSER3	0681 6867985	136/158/40167		DE415406648
100	0000200034	AT	Sandmark Messtechnik AG				SANDMARK	Wels	4600		Wiesenring 111b			0500000026	KRED						D	20240819	SAPUSER5	0296 549962			ATU01718607
100	0000200037	DE	Ostberg Anlagenbau GmbH				OSTBERG	Gotha	99867	TH	Raiffeisenallee 173			0500000027	KRED						D	20220525	SAPUSER5	0630 6742339	953/669/66676		DE353908931
100	0000200038	AT	Steinburg Recycling KG				STEINBURG	Innsbruck	6020		Feldgasse 38			0500000028	KRED						D	20210224	SAPUSER3	0907 6322317			ATU01105759
100	0000200039	DE	Reindorf Papier GmbH				REINDORF	Nürnberg	90402	BY	Ulmenstraße 111			0500000029	KRED						D	20211011	SAPUSER2	0817 9476973	388/169/80806		DE190132449
100	0000200043	NL	Rheinbach Metallbau B.V.				RHEINBACH	Breda	4811 DJ		Sonnenplatz 77	64076	4811 DJ	0500000030	KRED						E	20220524	SAPUSER2	0774 9570264			NL831378466B96
100	0000200046	PL	Weißmark Hydraulik Sp. z o.o.				WEISSMARK	Gdansk	80-001		Schulstraße 7			0500000031	KRED						E	20240708	SAPUSER3	0810 3424228			PL2832461272
100	0000200048	DE	Falkenwald Logistik GmbH				FALKENWALD	Stade	21682	NI	Erlendamm 148			0500000032	KRED						D	20231124	SAPUSER2	0500 9650859	876/613/73523		DE234161618
100	0000200050	FR	Weidenhaus Möbelwerke S.A.R.L.				WEIDENHAUS	Nantes	44000		Brunnenweg 79a			0500000033	KRED						F	20240309	SAPUSER4	0335 7748763			FR30303014058
100	0000200051	IT	Haselmark Armaturen S.p.A.				HASELMARK	Torino	10121		Heideweg 2			0500000034	KRED						I	20221204	SAPUSER3	0481 9144334			IT01049282384
100	0000200052	IT	Buchensee Handel S.p.A.				BUCHENSEE	Padova	35121		Haselgasse 174			0500000035	KRED						I	20240411	SAPUSER1	0643 7591293			IT31016203649
100	0000200053	DE	Kleinwald Messtechnik GmbH				KLEINWALD	Erfurt	99084	TH	Zeppelinallee 39			0500000036	KRED						D	20230401	SAPUSER1	0270 8853602	512/764/14935		DE508147644
100	0000200056	IT	Weißweg Stahlbau S.r.l.				WEISSWEG	Verona	37121		Tannenplatz 122			0500000037	KRED						I	20190117	SAPUSER5	0535 2923094			IT07844518593
100	0000200057	DE	Weidenried Formenbau GmbH & Co. KG				WEIDENRIED	Hannover	30159	NI	Felddamm 183a			0500000038	KRED						D	20230119	SAPUSER5	0610 6353047	264/634/50487		DE192466088
100	0000200059	DE	Südau Haustechnik GmbH & Co. KG				SÜDAU	Rheine	48431	NW	Postplatz 197			0500000039	KRED						D	20210830	SAPUSER3	0749 7833145	652/197/78173		DE106235053
100	0000200060	DE	Ostweg Recycling GmbH & Co. KG				OSTWEG	Aurich	26603	NI	Domstraße 131			0500000040	KRED						D	20220205	SAPUSER2	0341 7713615	326/316/78692		DE330130022
100	0000200061	DE	Hartried Kunststofftechnik GmbH				HARTRIED	Wuppertal	42103	NW	Ahornallee 87			0500000041	KRED						D	20191210	SAPUSER2	0635 5616144	446/298/82658		DE275603752
100	0000200063	CH	Hartfels Getränke AG				HARTFELS	Luzern	6003		Lerchengasse 120			0500000042	KRED						D	20190402	SAPUSER2	0504 3189716			CHE820837999MWST
100	0000200064	DE	Espenfels Armaturen AG				ESPENFELS	Bergheim	50126	NW	Nelkenplatz 196a			0500000043	KRED						D	20220325	SAPUSER3	0398 7499646	471/198/16302		DE488451868
100	0000200067	DE	Feldhof Sanitärtechnik GmbH				FELDHOF	Neumünster	24534	SH	Sonnenallee 71			0500000044	KRED						D	20200425	SAPUSER4	0666 2691436	508/423/21490		DE622999313
100	0000200068	DE	Haselheim Haustechnik KG				HASELHEIM	Remscheid	42853	NW	Postring 183			0500000045	KRED						D	20191126	SAPUSER2	0362 258201	841/993/72008		DE758280728
100	0000200069	NL	Haseltal Speditionen N.V.				HASELTAL	Nijmegen	6511 AB		Rosengasse 85a			0500000046	KRED						E	20230206	SAPUSER4	0318 1725081			NL731260949B06
100	0000200071	DE	Eichried Speditionen GmbH				EICHRIED	Karlsruhe	76133	BW	Gartendamm 170			0500000047	KRED						D	20191031	SAPUSER2	0364 762526	123/229/72904		DE980827083
100	0000200072	DE	Steinfels Chemie GmbH & Co. KG				STEINFELS	Aschaffenburg	63739	BY	Haseldamm 122b			0500000048	KRED						D	20240815	SAPUSER3	0942 9815187	150/310/45044		DE567552354
100	0000200073	DE	Falkenhaus Fördertechnik AG				FALKENHAUS	Freiberg	09599	SN	Gartengasse 31b			0500000049	KRED						D	20190813	SAPUSER4	0907 2781093	796/278/39050		DE554471236
100	0000200074	DE	Nordhof Antriebstechnik KGaA				NORDHOF	Düsseldorf	40213	NW	Haselstraße 119			0500000050	KRED						D	20240606	SAPUSER4	0553 7162641	923/243/60569		DE801847863
100	0000200075	DE	Hochdorf Speditionen GmbH & Co. KG				HOCHDORF	Sindelfingen	71063	BW	Haselstraße 174			0500000051	KRED						D	20210526	SAPUSER1	0393 2687815	997/857/71162		DE668780901
100	0000200077	DE	Haselhaus Papier GmbH				HASELHAUS	Nordhorn	48529	NI	Feldring 155			0500000052	KRED						D	20190513	SAPUSER1	0963 7476912	619/913/95326		DE751840401
100	0000200081	DE	Kleinbrück Klimatechnik GmbH				KLEINBRÜCK	Eckernförde	24340	SH	Hafengasse 83			0500000053	KRED						D	20230117	SAPUSER3	0462 8897057	291/297/41966		DE365837695
100	0000200082	AT	Buchengrund Werkzeugbau AG				BUCHENGRUN	Linz	4020		Industriering 199a			0500000054	KRED						D	20210122	SAPUSER3	0894 1902954			ATU66016242
100	0000200083	DE	Grünberg Sanitärtechnik GmbH & Co. KG				GRÜNBERG	Ahlen	59227	NW	Eichenallee 71			0500000055	LIEF	X					D	20230413	SAPUSER4	0212 1040169	491/612/85764		DE133523837
100	0000200084	DE	Sandried Metallbau e.K.				SANDRIED	Hattingen	45525	NW	Schulstraße 148			0500000056	KRED						D	20201113	SAPUSER1	0500 9932225	865/416/77187		DE815989670
100	0000200085	DE	Erlenstein Kunststofftechnik KGaA				ERLENSTEIN	Oldenburg	26122	NI	Gartenweg 128			0500000057	KRED						D	20220928	SAPUSER4	0474 2405569	154/921/99492		DE816043895
100	0000200087	NL	Hartbrück Maschinenbau B.V.				HARTBRÜCK	Tilburg	5038 EA		Wiesengasse 189			0500000058	KRED						E	20221103	SAPUSER1	0793 894316			NL092135707B18
100	0000200088	DE	Weißfels Aufzugstechnik GmbH & Co. KG				WEISSFELS	Kaiserslautern	67655	RP	Mühlenstraße 106			0500000059	KRED						D	20240315	SAPUSER4	0544 1176457	168/888/82506		DE229019237
100	0000200091	DE	Erlenbrück Kunststofftechnik GmbH				ERLENBRÜCK	Reinbek	21465	SH	Raiffeisendamm 141			0500000060	KRED						D	20210624	SAPUSER4	0319 7927888	441/516/81735		DE362166238
100	0000200092	FR	Weidenhaus Formenbau S.A.				WEIDENHAUS	Lille	59000		Nussbaumdamm 191			0500000061	KRED						F	20201031	SAPUSER4	0823 460513			FR18308403913
100	0000200093	US	Feldhof Textilien Corp.				FELDHOF	Boston	02110	MA	Marktgasse 164			0500000062	KRED						E	20191125	SAPUSER3	0448 4387524			
100	0000200095	DE	Ulmenmark Papier GmbH				ULMENMARK	Düren	52349	NW	Eichenweg 190			0500000063	KRED						D	20230103	SAPUSER4	0784 1517416	939/383/79922		DE300636982
100	0000200097	DE	Brandhof Getränke eG				BRANDHOF	Pinneberg	25421	SH	Fasanenallee 57	2314	25421	0500000064	KRED						D	20221017	SAPUSER2	0422 8709035	464/332/93715		DE737637497
100	0000200098	DE	Brandau Getränke AG				BRANDAU	Weiden	92637	BY	Wiesenplatz 56			0500000065	KRED						D	20190624	SAPUSER4	0287 2844348	724/386/73889		DE921447312
100	0000200099	DE	Steinberg Recycling OHG				STEINBERG	Norderstedt	22846	SH	Erlenplatz 39a			0500000066	KRED						D	20240724	SAPUSER5	0659 6932538	893/266/88447		DE189727481
100	0000200100	IT	Grünwald Schleiftechnik S.r.l.				GRÜNWALD	Torino	10121		Eichenallee 145			0500000067	KRED						I	20240716	SAPUSER2	0385 6283267			IT18431459991
100	0000200101	DE	Waldburg Schleiftechnik AG				WALDBURG	Herford	32052	NW	Nussbaumplatz 164			0500000068	KRED						D	20231107	SAPUSER1	0450 820361	736/689/78095		DE496178186
100	0000200102	DE	Südhof Schweißtechnik UG (haftungsbeschränkt)				SÜDHOF	Stade	21682	NI	Fasanendamm 128			0500000069	KRED						D	20240220	SAPUSER4	0815 717680	105/132/87027		DE724373635
100	0000200103	IT	Espensee Stahlbau S.p.A.				ESPENSEE	Genova	16121		Amselweg 178			0500000070	KRED						I	20200129	SAPUSER5	0710 865982			IT21157537547
100	0000200106	DE	Rheinried Textilien KGaA				RHEINRIED	Ulm	89073	BW	Nussbaumdamm 154			0500000071	KRED						D	20221015	SAPUSER2	0471 4883907	705/186/97199		DE801152905
100	0000200107	CH	Brandbrück Getränke AG				BRANDBRÜCK	Bern	3011		Erlenring 54			0500000072	KRED						D	20200313	SAPUSER4	0729 4534347			CHE835296943MWST
100	0000200108	FR	Bernfeld Anlagenbau S.A.R.L.				BERNFELD	Grenoble	38000		Gartengasse 152			0500000073	KRED						F	20210810	SAPUSER2	0826 4961086			FR40953053132
100	0000200109	DE	Kiefernried Möbelwerke GmbH				KIEFERNRIE	Herford	32052	NW	Sonnendamm 120			0500000074	KRED						D	20210106	SAPUSER3	0595 6296415	240/897/15084		DE942676162
100	0000200110	DE	Oststein Handel GmbH & Co. KG				OSTSTEIN	Baden-Baden	76530	BW	Gartenallee 114			0500000075	KRED						D	20190817	SAPUSER2	0216 5366425	107/104/58691		DE570335500
100	0000200111	PL	Steinsee Apparatebau Sp. z o.o.				STEINSEE	Gdansk	80-001		Haselgasse 185b			0500000076	KRED						E	20230617	SAPUSER2	0456 1837656			PL4553824396
100	0000200112	DE	Rotweg Antriebstechnik AG				ROTWEG	Weimar	99423	TH	Feldstraße 128			0500000077	KRED						D	20231222	SAPUSER3	0853 6138431	242/566/82879		DE156079640
100	0000200113	DE	Hochmark Bedachungen OHG				HOCHMARK	Köln	50667	NW	Domstraße 80			0500000078	KRED						D	20221028	SAPUSER1	0446 2322880	517/375/97018		DE524122859
100	0000200116	AT	Zederfurt Formenbau KG				ZEDERFURT	Salzburg	5020		Kirschring 199a			0500000079	KRED						D	20200228	SAPUSER4	0548 5696597			ATU50173935
100	0000200117	DE	Kiefernbrück Chemie e.K.				KIEFERNBRÜ	Tübingen	72070	BW	Raiffeisendamm 173			0500000080	KRED						D	20231125	SAPUSER2	0692 3719274	917/613/60167		DE935969592
100	0000200118	DE	Rheinhaus Bedachungen UG (haftungsbeschränkt)				RHEINHAUS	Baden-Baden	76530	BW	Fasanenweg 65a			0500000081	KRED						D	20220629	SAPUSER1	0867 7116743	206/232/19918		DE723654765
100	0000200119	CH	Espenhaus Speditionen AG				ESPENHAUS	Winterthur	8400		Mühlenplatz 111			0500000082	KRED						D	20210525	SAPUSER5	0620 6461680			CHE900652511MWST
100	0000200120	NL	Lindental Textilien N.V.				LINDENTAL	Groningen	9711 LM		Bahnhofplatz 40			0500000083	KRED						E	20220415	SAPUSER2	0222 5266472			NL313565072B71
100	0000200121	FR	Ahornburg Verpackungen S.A.				AHORNBURG	Marseille	13001		Bahnhofring 134a			0500000084	KRED						F	20220721	SAPUSER4	0601 5438534			FR85101183157
100	0000200122	DE	Steinried Formenbau AG				STEINRIED	Bremen	28195	HB	Marktplatz 155			0500000085	KRED						D	20210807	SAPUSER1	0391 3222853	498/233/59040		DE625788795
100	0000200124	DE	Steinbrück Pumpen GmbH				STEINBRÜCK	Elmshorn	25335	SH	Gartenweg 38a			0500000086	KRED						D	20191112	SAPUSER4	0735 7420411	153/797/48641		DE431447855
100	0000200125	DE	Neuhaus Zerspanung UG (haftungsbeschränkt)				NEUHAUS	Vechta	49377	NI	Zeppelinweg 76			0500000087	KRED						D	20230406	SAPUSER2	0982 164765	944/517/47359		DE518886818
100	0000200126	DE	Hochtal Recycling GmbH				HOCHTAL	Augsburg	86150	BY	Postring 159b	94661	86150	0500000088	LIEF	X					D	20210725	SAPUSER1	0857 4050355	195/984/51847		DE780043608
100	0000200130	DE	Lindenfeld Schleiftechnik e.K.				LINDENFELD	Ludwigsburg	71634	BW	Amselweg 145a			0500000089	KRED						D	20240425	SAPUSER1	0232 1245162	627/233/14249		DE387285503
100	0000200131	DE	Kleinsee Baustoffe GmbH				KLEINSEE	Dortmund	44135	NW	Pappelring 78b			0500000090	KRED						D	20230414	SAPUSER5	0596 1030277	517/648/76280		DE982576921
100	0000200132	DE	Altfeld Metallbau GmbH & Co. KG				ALTFELD	Erlangen	91052	BY	Industriering 43			0500000091	KRED						D	20190630	SAPUSER3	0807 261384	337/186/16300		DE680935971
100	0000200133	DE	Kastanienhaus Textilien GmbH				KASTANIENH	Siegen	57072	NW	Pappelring 38a			0500000092	LIEF	X					D	20200909	SAPUSER1	0739 4028762	863/365/58548		DE340977143
100	0000200134	DE	Espental Umformtechnik GmbH				ESPENTAL	Wolfsburg	38440	NI	Hafenweg 57			0500000093	KRED						D	20211022	SAPUSER5	0874 8099331	755/913/61888		DE569314270
100	0000200136	DE	Kiefernfeld Umformtechnik GmbH				KIEFERNFEL	Kempten	87435	BY	Birkenweg 85			0500000094	KRED						D	20190626	SAPUSER2	0612 2098686	737/476/98400		DE894913314
100	0000200137	DE	Hartberg Getränke GmbH				HARTBERG	Weimar	99423	TH	Hafengasse 17			0500000095	KRED						D	20230611	SAPUSER2	0415 8644754	506/542/49853		DE377492464
100	0000200138	DE	Eichstein Systemtechnik GmbH				EICHSTEIN	Coburg	96450	BY	Mühlenplatz 70			0500000096	KRED						D	20221118	SAPUSER1	0689 2018506	161/259/58746		DE277182914
100	0000200139	AT	Gründorf Messtechnik KG				GRÜNDORF	Graz	8010		Fasanenallee 81b			0500000097	KRED						D	20190128	SAPUSER5	0312 2838485			ATU23272958
100	0000200140	PL	Ulmenberg Armaturen Sp. z o.o.				ULMENBERG	Lodz	90-001		Eichendamm 123			0500000098	KRED						E	20220830	SAPUSER2	0943 7296418			PL4478003452
100	0000200141	DE	Kleinmark Aufzugstechnik GmbH				KLEINMARK	Karlsruhe	76133	BW	Hafenring 36			0500000099	KRED						D	20201116	SAPUSER5	0231 4019113	982/699/47593		DE973820143
100	0000200142	DE	Bergmark Behälterbau eG				BERGMARK	Reinbek	21465	SH	Industriestraße 27a			0500000100	KRED						D	20200613	SAPUSER3	0814 919485	482/144/46312		DE995768539
100	0000200143	DE	Sandburg Fördertechnik OHG				SANDBURG	Eckernförde	24340	SH	Rosenallee 44			0500000101	LIEF	X					D	20230904	SAPUSER5	0323 2582245	734/546/47072		DE281951676
100	0000200144	DE	Hartried Chemie GmbH & Co. KG				HARTRIED	Goslar	38640	NI	Pappelallee 120a			0500000102	KRED						D	20200612	SAPUSER5	0939 605419	516/821/21137		DE835510911
100	0000200145	DE	Westwald Bedachungen GmbH				WESTWALD	Salzgitter	38226	NI	Bahnhofgasse 146			0500000103	KRED						D	20221209	SAPUSER1	0523 2786771	225/432/10732		DE970026635
100	0000200146	DE	Buchenbrück Fördertechnik GmbH & Co. KG				BUCHENBRÜC	Wesel	46483	NW	Domweg 181a			0500000104	LIEF	X					D	20220319	SAPUSER3	0474 8956692	960/647/34284		DE215237717
100	0000200147	DE	Ahorndorf Pumpen KG				AHORNDORF	Wolfsburg	38440	NI	Zeppelindamm 177b			0500000105	KRED						D	20210805	SAPUSER2	0282 6647779	171/149/26340		DE376203924
100	0000200148	DE	Talhof Oberflächentechnik GmbH				TALHOF	Witten	58452	NW	Rosenallee 26a			0500000106	KRED						D	20190928	SAPUSER2	0249 8316857	478/746/89657		DE450578068
100	0000200150	FR	Eichstein Pumpen S.A.R.L.				EICHSTEIN	Bordeaux	33000		Marktplatz 146			0500000107	KRED						F	20190907	SAPUSER1	0569 3924953			FR01708597946
100	0000200151	DE	Zederwald Behälterbau GmbH & Co. KG				ZEDERWALD	Cloppenburg	49661	NI	Tannenweg 68			0500000108	KRED						D	20231005	SAPUSER5	0964 5248117	959/362/80601		DE321633245
100	0000200152	DE	Rotweg Lagertechnik GmbH & Co. KG				ROTWEG	Güstrow	18273	MV	Nussbaumallee 43b			0500000109	KRED						D	20230531	SAPUSER2	0678 1062632	783/677/85890		DE139751405
100	0000200153	DE	Neustein Formenbau KG				NEUSTEIN	Wesel	46483	NW	Ulmenweg 37			0500000110	KRED						D	20200429	SAPUSER1	0284 869897	252/181/68500		DE383217149
100	0000200154	IT	Nordau Pumpen S.p.A.				NORDAU	Verona	37121		Raiffeisenallee 39			0500000111	KRED						I	20190904	SAPUSER4	0995 6167048			IT04115393265
100	0000200155	DE	Bergsee Speditionen KG				BERGSEE	Ratingen	40878	NW	Tannendamm 51			0500000112	KRED						D	20230715	SAPUSER4	0417 3039925	888/901/13407		DE757177418
100	0000200156	DE	Brandbrück Druckguss GmbH				BRANDBRÜCK	Kerpen	50171	NW	Hafenstraße 85b			0500000113	KRED						D	20200718	SAPUSER4	0270 9491474	225/427/63207		DE667306036
100	0000200158	NL	Hochweg Haustechnik N.V.				HOCHWEG	Breda	4811 DJ		Postdamm 177			0500000114	KRED						E	20200813	SAPUSER2	0401 813132			NL366200795B12
100	0000200160	DE	Lindenbach Getränke GmbH				LINDENBACH	Schwerin	19053	MV	Eichenallee 122			0500000115	KRED						D	20240830	SAPUSER3	0709 1186854	327/280/16074		DE426323607
100	0000200161	DE	Ulmenau Bedachungen GmbH				ULMENAU	Bocholt	46395	NW	Heidering 107a			0500000116	KRED						D	20230214	SAPUSER4	0707 1547214	918/716/17545		DE662081093
100	0000200162	CH	Weißbach Handel AG				WEISSBACH	Sankt Gallen	9000		Wiesenstraße 26			0500000117	KRED						D	20230102	SAPUSER1	0469 7824821			CHE340420141MWST
100	0000200164	DE	Fichtenried Möbelwerke eG				FICHTENRIE	Mülheim an der Ruhr	45468	NW	Fasanenring 27			0500000118	KRED						D	20220121	SAPUSER2	0297 477413	275/464/70559		DE276748611
100	0000200168	PL	Neusee Elektrotechnik S.A.				NEUSEE	Lodz	90-001		Postring 69			0500000119	KRED						E	20201206	SAPUSER4	0760 9894678			PL5349377879
100	0000200169	DE	Reingrund Speditionen AG				REINGRUND	Cuxhaven	27472	NI	Pappelring 115b			0500000120	KRED						D	20240602	SAPUSER5	0324 8390603	216/476/72759		DE799531118
100	0000200170	DE	Mühlbrück Haustechnik GmbH				MÜHLBRÜCK	Gotha	99867	TH	Fasanengasse 2b			0500000121	KRED						D	20240221	SAPUSER3	0343 7970302	475/796/70794		DE545914120
100	0000200171	DE	Reinfels Handel GmbH				REINFELS	Kempten	87435	BY	Quellengasse 118a			0500000122	KRED						D	20231120	SAPUSER3	0954 5762905	283/900/71008		DE962783034
100	0000200173	NL	Kastaniensee Messtechnik B.V.				KASTANIENS	Utrecht	3511 LX		Nussbaumallee 184			0500000123	KRED						E	20210212	SAPUSER4	0399 8618443			NL330313888B83
100	0000200175	AT	Neusee Anlagenbau AG				NEUSEE	Wien	1010		Rosenallee 12			0500000124	KRED						D	20210211	SAPUSER1	0989 5624792			ATU05948415
100	0000200177	DE	Reinstein Zerspanung GmbH				REINSTEIN	Erding	85435	BY	Eichendamm 124a			0500000125	KRED						D	20230224	SAPUSER1	0747 791572	567/383/85024		DE112650603
100	0000200179	AT	Brandtal Logistik AG				BRANDTAL	Salzburg	5020		Sonnendamm 71			0500000126	KRED						D	20211010	SAPUSER5	0581 927130			ATU11422833
100	0000200180	DE	Steinbach Druckguss GmbH				STEINBACH	Bocholt	46395	NW	Industriedamm 71			0500000127	KRED						D	20230311	SAPUSER2	0331 1369944	646/835/81630		DE785954974
100	0000200181	DE	Fichtenburg Recycling GmbH				FICHTENBUR	Bayreuth	95444	BY	Nussbaumring 66a			0500000128	KRED						D	20230529	SAPUSER3	0572 8526287	572/696/48485		DE497133034
100	0000200182	AT	Weißtal Fördertechnik GmbH				WEISSTAL	Wels	4600		Industrieplatz 45			0500000129	KRED						D	20200224	SAPUSER4	0779 2102228			ATU54731027
100	0000200183	NL	Bernmark Antriebstechnik B.V.				BERNMARK	Den Haag	2511 CV		Feldstraße 156			0500000130	KRED						E	20190128	SAPUSER2	0919 796126			NL713936293B31
100	0000200184	DE	Lindenwald Werkzeugbau eG				LINDENWALD	Schwäbisch Gmünd	73525	BW	Burggasse 25a			0500000131	KRED						D	20221031	SAPUSER1	0730 6013620	762/605/87787		DE167859402
100	0000200186	DE	Kiefernried Textilien GmbH & Co. KG				KIEFERNRIE	Bochum	44787	NW	Burggasse 98			0500000132	KRED						D	20210907	SAPUSER5	0563 1608160	223/663/88470		DE987978555
100	0000200188	DE	Ostfurt Elektrotechnik GmbH & Co. KG				OSTFURT	Viersen	41747	NW	Brunnenweg 127			0500000133	KRED						D	20211125	SAPUSER2	0273 1497812	421/225/62849		DE569385021
100	0000200189	DE	Weidenried Speditionen GmbH				WEIDENRIED	Goslar	38640	NI	Rosengasse 77			0500000134	KRED						D	20220324	SAPUSER2	0518 3592125	865/231/75341		DE443285901
100	0000200190	DE	Kleinhaus Druckguss AG				KLEINHAUS	Troisdorf	53840	NW	Ahornstraße 15			0500000135	KRED						D	20200819	SAPUSER2	0806 2518231	759/308/86773		DE625642056
100	0000200191	DE	Erlenweg Werkzeugbau GmbH & Co. KG				ERLENWEG	Meißen	01662	SN	Nussbaumdamm 25b			0500000136	KRED						D	20230504	SAPUSER4	0474 4956060	824/224/70020		DE291797895
100	0000200192	AT	Ostberg Pumpen AG				OSTBERG	Sankt Pölten	3100		Amselstraße 8			0500000137	KRED						D	20220505	SAPUSER4	0720 9658472			ATU21456560
100	0000200193	DE	Feldfurt Anlagenbau GmbH				FELDFURT	Weimar	99423	TH	Sonnenring 67			0500000138	KRED						D	20220901	SAPUSER2	0207 4451251	206/105/85402		DE779630792
100	0000200194	DE	Altfurt Hydraulik AG				ALTFURT	Detmold	32756	NW	Raiffeisendamm 110			0500000139	KRED						D	20240610	SAPUSER4	0721 4001255	148/662/46506		DE142293255
